Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,40.51,40.60,40.09,40.32,2178900,40.32
2014-03-03,40.92,42.10,40.48,40.87,2638100,40.54
2014-02-24,40.61,41.39,40.56,41.19,2451000,40.86
2014-02-18,40.70,41.35,40.19,40.61,2281400,40.28
2014-02-10,39.93,41.05,39.75,40.67,1978800,40.34
2014-02-03,38.82,40.13,38.01,39.93,2913000,39.61
2014-01-27,36.65,39.16,36.33,38.76,3540200,38.45
2014-01-21,37.20,37.91,36.51,36.74,2146000,36.44
2014-01-13,37.31,37.66,36.59,36.98,2117300,36.68
2014-01-06,37.62,37.92,36.77,37.60,2580400,37.30
2013-12-30,37.23,37.49,36.55,37.24,1884100,36.94
2013-12-23,37.42,37.45,36.64,37.19,1935300,36.89
2013-12-16,36.02,37.21,35.71,36.83,3466600,36.53
2013-12-09,37.90,38.08,36.01,36.29,2308900,35.72
2013-12-02,37.92,37.99,36.81,37.84,1965700,37.24
2013-11-25,38.45,38.76,37.91,37.93,1756700,37.33
2013-11-18,39.13,39.29,37.93,38.44,1744400,37.84
2013-11-11,38.90,39.42,38.27,39.18,1901400,38.56
2013-11-04,40.66,40.89,38.11,38.95,1947100,38.34
2013-10-28,40.80,40.80,39.55,40.57,2496100,39.93
2013-10-21,39.83,40.99,39.64,40.92,2517900,40.28
2013-10-14,38.73,40.24,38.47,39.82,2506700,39.19
2013-10-07,37.70,39.11,37.33,39.10,2018700,38.49
2013-09-30,38.10,39.38,37.31,38.10,3130200,37.50
2013-09-23,38.12,38.67,37.66,38.30,2570700,37.70
2013-09-16,37.37,39.74,37.03,38.09,2769600,37.49
2013-09-09,36.59,38.04,36.23,36.97,2225700,36.39
2013-09-03,35.63,36.98,34.81,36.55,2282300,35.71
2013-08-26,36.07,36.20,35.08,35.24,1714400,34.43
2013-08-19,35.09,36.12,34.60,36.08,2348800,35.25
2013-08-12,38.05,38.09,35.06,35.08,2097700,34.27
2013-08-05,38.13,38.65,37.58,38.31,1865200,37.43
2013-07-29,39.42,39.57,37.96,38.15,2135300,37.27
2013-07-22,40.35,40.58,39.02,39.65,2458900,38.73
2013-07-15,39.01,40.56,38.88,40.36,2005400,39.43
2013-07-08,37.60,40.02,37.38,38.96,2655400,38.06
2013-07-01,38.29,38.29,36.78,37.50,2766500,36.63
2013-06-24,35.83,38.13,35.11,37.72,4274500,36.85
2013-06-17,38.92,39.24,35.09,36.36,5800900,35.52
2013-06-10,39.15,39.20,36.99,38.48,4100800,37.59
2013-06-03,40.26,41.00,38.20,39.03,3055400,38.13
2013-05-28,42.89,43.16,40.26,40.30,3860800,39.09
2013-05-20,43.75,45.52,41.65,42.45,2856900,41.17
2013-05-13,43.33,44.05,43.12,43.87,2842100,42.55
2013-05-06,42.68,43.33,42.50,43.32,2256100,42.02
2013-04-29,41.70,42.88,41.51,42.74,3838200,41.46
2013-04-22,41.55,43.21,41.17,41.60,8533900,40.35
2013-04-15,40.84,41.68,40.26,41.59,3139900,40.34
2013-04-10,39.91,41.25,39.87,41.11,2655300,39.87
