Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,83.82,84.11,83.35,84.09,1698100,84.09
2014-03-03,80.82,84.65,80.25,83.98,2097100,83.98
2014-02-24,80.28,82.65,80.16,81.78,1961900,81.78
2014-02-18,83.53,83.53,79.06,80.23,2046000,80.23
2014-02-10,80.09,81.80,79.24,81.62,1743700,81.62
2014-02-03,79.88,80.80,78.03,79.89,2446800,79.89
2014-01-27,81.15,81.72,79.78,79.88,2618100,79.88
2014-01-21,82.75,84.43,81.03,81.03,3085000,81.03
2014-01-13,78.03,84.41,77.08,82.26,2990000,82.26
2014-01-06,77.29,79.29,76.69,78.77,2577400,78.33
2013-12-30,78.20,78.29,76.06,76.96,1411900,76.53
2013-12-23,76.73,78.36,76.38,78.20,1163600,77.76
2013-12-16,75.10,76.74,73.92,76.37,2657300,75.94
2013-12-09,76.77,76.89,75.14,75.38,2054800,74.96
2013-12-02,76.85,77.90,74.80,76.17,2313700,75.74
2013-11-25,76.95,77.85,76.17,76.95,1821600,76.52
2013-11-18,75.20,76.98,74.83,76.82,1865600,76.39
2013-11-11,75.52,75.81,73.33,75.14,2156700,74.72
2013-11-04,73.45,75.67,72.85,75.52,2011600,75.10
2013-10-28,75.27,75.86,72.99,73.37,1766000,72.96
2013-10-21,75.02,75.79,74.60,75.36,1945200,74.94
2013-10-14,72.56,75.15,72.15,75.04,2668600,74.62
2013-10-07,72.36,73.12,70.63,72.96,1936600,72.55
2013-09-30,71.95,73.16,71.48,72.97,2128000,72.11
2013-09-23,73.78,73.87,72.04,72.63,2186100,71.78
2013-09-16,74.34,75.54,73.42,74.05,2222000,73.18
2013-09-09,73.23,73.85,72.36,73.25,1506600,72.39
2013-09-03,73.05,73.78,71.99,73.19,1743300,72.33
2013-08-26,75.01,75.10,71.97,72.27,1373000,71.42
2013-08-19,74.76,75.37,73.72,75.02,1345300,74.14
2013-08-12,75.62,76.60,74.46,74.91,1644300,74.03
2013-08-05,77.29,77.58,75.54,75.96,1667500,75.07
2013-07-29,75.87,77.93,75.30,77.43,2630500,76.52
2013-07-22,77.19,77.91,75.29,75.90,2312200,75.01
2013-07-15,74.99,77.31,72.58,77.19,3353600,76.28
2013-07-08,76.25,76.79,73.46,74.91,2865800,74.03
2013-07-01,73.23,75.94,73.04,75.92,1953800,74.58
2013-06-24,71.13,74.19,70.15,72.92,2620700,71.64
2013-06-17,71.55,72.23,70.15,71.71,3179700,70.45
2013-06-10,71.47,73.11,70.11,71.00,2512400,69.75
2013-06-03,71.75,72.35,69.15,71.10,2575100,69.85
2013-05-28,72.06,73.23,70.31,71.64,2832500,70.38
2013-05-20,71.37,73.13,70.07,71.11,2720000,69.86
2013-05-13,68.50,71.68,67.97,71.51,2395900,70.25
2013-05-06,68.12,69.09,67.98,68.57,2608400,67.36
2013-04-29,68.17,68.57,67.03,68.11,2934000,66.91
2013-04-22,65.43,69.65,65.11,68.10,4325400,66.90
2013-04-15,65.69,66.51,63.69,65.23,4120800,64.08
2013-04-10,66.59,67.57,65.63,65.81,2828900,64.65
