Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,82.59,82.73,81.89,82.38,602100,82.38
2014-03-03,80.10,83.37,79.56,82.81,941100,82.81
2014-02-24,79.30,81.39,79.19,80.81,1316500,80.81
2014-02-18,78.88,79.95,77.72,79.17,1184700,79.17
2014-02-10,76.37,78.46,75.77,78.38,1205500,78.38
2014-02-03,74.33,76.41,71.34,76.37,1975400,76.37
2014-01-27,72.75,77.78,71.29,74.33,1854000,74.33
2014-01-21,77.95,78.18,72.03,72.22,1576800,72.22
2014-01-13,76.62,77.85,74.76,77.60,1540700,77.35
2014-01-06,77.04,77.87,76.11,77.02,998000,76.77
2013-12-30,77.57,77.91,76.42,76.63,803800,76.38
2013-12-23,76.06,77.97,75.27,77.57,756200,77.32
2013-12-16,70.75,75.91,69.76,75.40,1294700,75.16
2013-12-09,70.81,72.30,69.41,70.01,862300,69.78
2013-12-02,70.60,71.16,68.92,70.95,692600,70.72
2013-11-25,70.50,71.42,70.41,70.72,603100,70.49
2013-11-18,70.72,70.94,69.32,70.37,825000,70.14
2013-11-11,67.42,70.74,67.32,70.48,921000,70.25
2013-11-04,67.67,68.54,66.24,67.36,793200,67.14
2013-10-28,66.53,67.95,66.26,67.48,885800,67.26
2013-10-21,65.50,66.70,62.80,66.67,1615000,66.46
2013-10-14,66.04,66.26,64.18,65.24,1280400,64.78
2013-10-07,65.15,66.60,63.34,66.39,701800,65.92
2013-09-30,65.03,66.56,64.73,66.31,872300,65.84
2013-09-23,65.63,65.95,64.35,65.52,794900,65.06
2013-09-16,65.09,66.49,64.07,65.82,1036700,65.35
2013-09-09,61.95,64.67,61.93,64.09,560400,63.64
2013-09-03,61.12,62.50,60.37,61.64,722600,61.20
2013-08-26,61.73,62.19,59.89,60.11,654400,59.69
2013-08-19,62.10,62.32,61.21,61.77,492200,61.33
2013-08-12,63.17,64.88,61.97,62.11,850500,61.67
2013-08-05,62.56,63.86,62.41,63.43,832800,62.98
2013-07-29,60.50,62.79,59.84,62.53,946800,62.09
2013-07-22,60.97,61.75,59.30,60.63,1154400,60.20
2013-07-15,61.20,61.47,59.97,60.74,1003700,60.06
2013-07-08,59.06,60.98,58.24,60.97,996900,60.29
2013-07-01,58.00,58.79,57.38,58.78,729200,58.12
2013-06-24,56.14,58.52,55.49,57.69,1328700,57.04
2013-06-17,60.06,60.14,56.45,56.87,1765600,56.23
2013-06-10,59.18,60.00,57.30,59.72,975000,59.05
2013-06-03,58.39,59.33,56.66,59.05,1442200,58.39
2013-05-28,58.00,59.59,57.05,58.24,1138200,57.59
2013-05-20,57.64,58.59,56.05,57.47,1095400,56.83
2013-05-13,55.65,58.21,55.52,57.82,1073600,57.17
2013-05-06,54.16,56.35,54.09,55.75,787700,55.12
2013-04-29,53.90,54.94,52.98,54.22,1383500,53.61
2013-04-22,50.34,54.98,49.67,53.80,1786500,53.20
2013-04-15,53.08,53.15,49.71,50.24,1557100,49.46
2013-04-10,53.30,54.77,53.01,53.35,1242000,52.52
