Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,19.79,19.83,19.57,19.71,2307200,19.71
2014-03-03,20.30,20.44,19.54,19.83,2972400,19.83
2014-02-24,20.70,20.93,20.15,20.39,2471200,20.12
2014-02-18,20.56,20.78,20.33,20.67,1931600,20.39
2014-02-10,19.40,20.60,19.26,20.58,2162000,20.30
2014-02-03,19.46,19.76,18.96,19.44,1632900,19.18
2014-01-27,18.71,19.51,18.70,19.43,2169100,19.17
2014-01-21,18.76,19.15,18.68,18.68,1671600,18.43
2014-01-13,18.98,19.00,18.57,18.66,1701200,18.41
2014-01-06,18.67,19.24,18.53,19.03,2400000,18.78
2013-12-30,18.90,19.18,18.57,18.68,1904900,18.43
2013-12-23,18.97,19.07,18.79,18.93,1519200,18.68
2013-12-16,18.64,18.93,18.50,18.91,2260300,18.66
2013-12-09,19.07,19.13,18.50,18.58,2102400,18.33
2013-12-02,19.12,19.25,18.85,19.08,2360200,18.82
2013-11-25,19.22,19.25,18.77,19.08,1611600,18.56
2013-11-18,19.46,19.46,19.02,19.20,1294700,18.68
2013-11-11,19.22,19.38,18.75,19.38,2106200,18.85
2013-11-04,19.40,19.49,18.90,19.19,2241800,18.67
2013-10-28,19.49,19.61,18.99,19.34,1806300,18.81
2013-10-21,18.94,19.62,18.82,19.50,1754600,18.97
2013-10-14,18.63,19.08,18.34,18.98,1517200,18.46
2013-10-07,18.20,18.79,18.19,18.74,2027000,18.23
2013-09-30,18.43,18.67,18.20,18.28,2170000,17.78
2013-09-23,18.50,18.82,18.28,18.45,1634200,17.95
2013-09-16,18.36,18.87,18.11,18.51,2775500,18.00
2013-09-09,18.16,18.36,18.04,18.17,2389400,17.67
2013-09-03,19.11,19.11,18.10,18.13,2340300,17.63
2013-08-26,19.13,19.18,18.87,18.94,1912800,18.15
2013-08-19,19.20,19.34,18.75,19.13,3915900,18.33
2013-08-12,20.28,20.35,19.08,19.22,1596200,18.42
2013-08-05,20.54,20.62,20.20,20.37,1236600,19.52
2013-07-29,20.42,20.89,20.36,20.61,1457300,19.75
2013-07-22,20.34,20.49,20.07,20.42,1325800,19.57
2013-07-15,20.20,20.57,20.11,20.38,1777100,19.53
2013-07-08,19.48,20.35,19.40,20.24,4394400,19.40
2013-07-01,20.28,20.30,19.19,19.38,3901300,18.57
2013-06-24,19.75,20.45,19.52,20.16,1874800,19.32
2013-06-17,20.37,20.45,19.35,19.88,2307400,19.05
2013-06-10,20.64,20.68,19.86,20.28,1901300,19.44
2013-06-03,20.78,21.00,20.12,20.62,2708800,19.76
2013-05-28,21.29,21.39,20.63,20.77,2302000,19.64
2013-05-20,22.05,22.49,21.07,21.23,1826700,20.08
2013-05-13,21.77,22.20,21.51,22.05,2050400,20.86
2013-05-06,22.51,22.53,21.50,21.81,2910700,20.63
2013-04-29,22.27,22.72,22.15,22.51,1978400,21.29
2013-04-22,21.91,22.34,21.68,22.18,1715500,20.98
2013-04-15,21.97,21.97,21.26,21.92,2646500,20.73
2013-04-10,21.87,22.13,21.84,22.05,3421100,20.86
