Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,167.58,167.83,166.06,167.03,665500,165.64
2014-03-03,168.20,172.11,166.66,167.55,736200,166.15
2014-02-24,166.57,169.60,165.79,169.00,914000,167.59
2014-02-18,165.41,167.87,164.52,166.44,813300,165.05
2014-02-10,160.20,166.10,159.70,165.75,617200,164.37
2014-02-03,157.35,160.35,155.00,160.25,849500,158.91
2014-01-27,152.58,158.73,151.84,157.59,757000,156.28
2014-01-21,155.89,157.41,152.15,152.42,699200,151.15
2014-01-13,153.52,156.71,153.52,154.97,638400,153.68
2014-01-06,150.70,154.60,148.75,154.26,662000,152.97
2013-12-30,151.37,152.67,148.04,150.11,595300,148.86
2013-12-23,152.33,153.31,150.54,151.12,395900,149.86
2013-12-16,150.64,152.40,147.14,151.82,855900,150.55
2013-12-09,154.00,155.90,149.38,149.54,957900,148.29
2013-12-02,152.96,154.22,148.51,154.00,795000,151.33
2013-11-25,155.24,155.66,152.40,152.70,456800,150.06
2013-11-18,162.18,162.29,153.54,154.86,699200,152.18
2013-11-11,159.65,163.23,157.54,162.41,712100,159.60
2013-11-04,168.78,169.85,157.23,159.91,814300,157.14
2013-10-28,173.87,176.68,165.62,168.99,700400,166.06
2013-10-21,171.96,174.26,169.24,174.26,545600,171.24
2013-10-14,167.95,173.63,166.53,172.16,523900,169.18
2013-10-07,161.80,168.47,160.25,168.41,383600,165.49
2013-09-30,161.95,164.69,160.06,162.76,568500,159.94
2013-09-23,163.86,163.88,160.28,162.59,565800,159.77
2013-09-16,158.72,168.30,156.79,163.83,706600,160.99
2013-09-09,153.05,158.04,152.69,156.03,472500,153.33
2013-09-03,153.92,154.82,150.46,153.02,612100,149.18
2013-08-26,157.78,158.37,151.18,152.67,582300,148.84
2013-08-19,154.79,159.67,153.19,157.68,648900,153.72
2013-08-12,162.66,163.03,153.84,153.95,425200,150.09
2013-08-05,160.26,164.26,160.25,163.15,489600,159.06
2013-07-29,160.45,162.39,158.10,160.73,614200,156.70
2013-07-22,162.64,163.74,157.45,161.00,480800,156.96
2013-07-15,159.00,163.23,158.44,162.54,450600,158.46
2013-07-08,152.99,160.24,152.63,159.08,496800,155.09
2013-07-01,153.63,155.21,149.46,152.87,733200,149.03
2013-06-24,148.46,154.80,146.66,153.33,884100,149.48
2013-06-17,153.25,154.99,145.04,149.73,1012900,145.97
2013-06-10,152.52,154.25,147.05,151.80,576000,147.99
2013-06-03,152.23,155.90,149.96,153.78,768600,148.70
2013-05-28,163.97,164.45,151.58,151.80,1036600,146.79
2013-05-20,167.20,168.66,158.99,162.59,752400,157.22
2013-05-13,164.07,167.91,163.51,167.45,652600,161.92
2013-05-06,166.43,167.68,163.80,164.27,529000,158.85
2013-04-29,160.44,167.32,159.82,166.48,544900,160.98
2013-04-22,158.84,160.61,157.40,159.97,354900,154.69
2013-04-15,157.82,159.04,154.37,158.80,609300,153.56
2013-04-10,157.62,159.61,156.77,158.51,485700,153.28
