Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,78.00,79.20,77.82,78.66,2371900,78.66
2014-03-03,74.65,78.79,74.37,78.08,2762100,78.08
2014-02-24,75.01,78.89,74.33,74.86,4212400,74.86
2014-02-18,76.21,76.99,74.75,74.95,3222300,74.95
2014-02-10,74.35,75.98,72.03,75.93,3228600,75.93
2014-02-03,73.12,74.43,68.78,74.28,5007600,73.89
2014-01-27,74.57,76.90,70.81,73.09,4507400,72.70
2014-01-21,76.03,78.10,73.60,74.44,3589600,74.05
2014-01-13,78.20,78.20,74.67,76.02,3447300,75.62
2014-01-06,76.51,79.00,76.15,78.00,3704100,77.59
2013-12-30,75.01,77.32,74.69,76.29,2512700,75.89
2013-12-23,74.50,75.39,74.19,74.75,1624400,74.35
2013-12-16,71.68,74.53,71.53,74.03,3510500,73.64
2013-12-09,72.30,73.17,69.54,71.60,3581100,71.22
2013-12-02,70.00,72.50,68.33,71.24,4546000,70.86
2013-11-25,68.48,71.00,68.13,69.61,3029300,69.24
2013-11-18,67.62,68.80,65.84,68.48,2986800,68.12
2013-11-11,65.15,68.36,64.53,67.10,3457800,66.74
2013-11-04,64.28,65.56,63.39,65.36,3045800,64.63
2013-10-28,63.77,65.64,63.05,64.13,3500300,63.41
2013-10-21,63.77,65.40,62.70,63.40,3584100,62.69
2013-10-14,59.57,63.50,59.25,63.48,3341300,62.77
2013-10-07,58.76,60.81,56.50,59.93,4220000,59.26
2013-09-30,58.01,59.83,56.88,59.17,3790600,58.51
2013-09-23,57.73,59.00,56.90,58.53,3056900,57.87
2013-09-16,57.62,59.30,55.81,57.93,3978400,57.28
2013-09-09,57.07,57.92,56.06,57.13,2851900,56.49
2013-09-03,57.76,59.32,56.90,57.42,3443800,56.78
2013-08-26,58.17,59.09,56.95,57.10,2564700,56.46
2013-08-19,56.28,59.24,54.90,58.11,3365600,57.46
2013-08-12,58.44,59.19,56.07,56.30,3161500,55.67
2013-08-05,58.28,59.36,57.30,58.92,3849100,57.95
2013-07-29,59.00,61.97,57.13,58.41,4529400,57.45
2013-07-22,57.88,59.84,57.18,59.00,3845600,58.03
2013-07-15,59.45,59.85,56.71,57.49,4461600,56.54
2013-07-08,57.71,59.64,55.94,59.09,4735400,58.12
2013-07-01,59.24,60.24,54.80,57.24,4582300,56.30
2013-06-24,58.46,60.96,56.84,58.91,3711100,57.94
2013-06-17,64.20,65.00,58.06,59.25,4092200,58.27
2013-06-10,65.93,66.39,62.37,63.81,2942500,62.76
2013-06-03,67.04,67.09,63.35,65.87,3077900,64.79
2013-05-28,66.39,67.89,65.65,66.57,3082500,65.47
2013-05-20,65.32,66.85,63.80,65.47,3683600,64.39
2013-05-13,61.13,65.92,60.39,65.46,5036000,64.38
2013-05-06,62.49,65.34,61.00,61.38,4103800,60.08
2013-04-29,61.97,62.66,59.16,62.18,4668300,60.86
2013-04-22,58.12,63.09,58.07,61.60,4233600,60.29
2013-04-15,59.18,59.99,56.13,57.84,5491700,56.61
2013-04-10,64.78,65.21,59.07,60.67,6838400,59.38
