Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,126.30,126.72,124.16,124.71,732300,124.71
2014-03-03,125.22,127.25,124.51,126.30,649700,126.30
2014-02-24,122.00,127.05,121.04,126.43,1180900,126.43
2014-02-18,118.50,122.63,116.99,121.24,1184600,121.20
2014-02-10,121.63,122.07,116.90,118.25,1136100,118.21
2014-02-03,120.64,123.77,114.79,121.86,1110000,121.82
2014-01-27,120.91,123.00,119.70,120.87,967400,120.83
2014-01-21,123.88,124.54,120.25,120.81,889100,120.77
2014-01-13,132.00,132.70,123.61,123.80,1184100,123.76
2014-01-06,137.60,137.99,130.98,132.13,818400,132.09
2013-12-30,134.38,138.94,133.54,137.62,555200,137.58
2013-12-23,132.00,136.32,132.00,134.50,423200,134.46
2013-12-16,130.66,134.65,129.82,130.88,1037700,130.84
2013-12-09,130.21,134.33,125.72,129.06,1552400,129.02
2013-12-02,133.67,133.76,129.43,130.11,709900,130.07
2013-11-25,132.53,135.43,131.95,133.92,495600,133.88
2013-11-18,133.57,134.15,130.10,132.01,501000,131.97
2013-11-11,125.92,133.83,125.50,133.05,694800,132.97
2013-11-04,125.23,127.29,124.41,125.57,472700,125.50
2013-10-28,118.55,127.16,118.32,124.53,788200,124.46
2013-10-21,122.67,124.62,118.39,118.55,985800,118.48
2013-10-14,118.74,122.55,117.44,122.42,717100,122.35
2013-10-07,123.06,123.15,115.63,118.92,859800,118.85
2013-09-30,117.44,125.79,114.52,123.95,1737500,123.88
2013-09-23,123.99,124.36,116.91,118.51,1264700,118.44
2013-09-16,125.53,128.01,122.43,125.09,819300,125.02
2013-09-09,130.30,132.29,121.07,124.45,1820000,124.38
2013-09-03,130.41,131.10,127.63,129.97,650900,129.89
2013-08-26,130.29,130.72,126.63,128.75,452500,128.67
2013-08-19,126.61,131.19,125.62,130.47,560600,130.36
2013-08-12,130.05,133.60,125.95,127.05,592400,126.94
2013-08-05,133.29,134.57,128.72,130.03,582600,129.92
2013-07-29,132.25,134.98,131.38,133.60,439300,133.48
2013-07-22,129.46,133.27,128.69,132.16,714100,132.04
2013-07-15,131.42,132.04,126.89,129.65,594900,129.54
2013-07-08,127.50,133.74,127.07,131.18,684600,131.07
2013-07-01,126.65,128.58,124.09,126.86,511600,126.75
2013-06-24,121.00,126.39,118.50,125.05,855900,124.94
2013-06-17,123.71,126.99,118.10,121.00,1045400,120.89
2013-06-10,113.86,123.87,107.09,123.28,1508800,123.17
2013-06-03,115.31,115.31,110.12,113.70,644200,113.60
2013-05-28,117.39,118.51,114.39,115.19,451400,115.09
2013-05-20,119.94,120.58,114.76,115.74,545700,115.64
2013-05-13,119.00,120.38,117.41,120.28,755000,120.14
2013-05-06,115.76,119.68,115.00,119.42,581300,119.28
2013-04-29,112.61,116.93,112.41,115.75,915700,115.61
2013-04-22,106.20,111.79,105.38,111.60,789400,111.47
2013-04-15,108.80,109.29,103.30,106.08,1028300,105.95
2013-04-10,108.00,112.75,107.07,109.73,1006500,109.60
