Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,130.89,131.65,130.59,131.58,790600,131.58
2014-03-03,129.71,132.05,129.11,131.07,1021500,131.07
2014-02-24,127.81,131.15,127.13,130.37,1218000,129.72
2014-02-18,130.20,130.36,127.27,128.07,1279600,127.43
2014-02-10,127.05,130.50,126.32,129.81,1114300,129.17
2014-02-03,124.87,127.17,121.22,127.06,1609600,126.43
2014-01-27,127.18,129.48,123.61,124.72,2168500,124.10
2014-01-21,133.41,134.23,126.95,126.97,1289600,126.34
2014-01-13,131.62,133.36,130.45,132.44,995100,131.78
2014-01-06,130.00,132.55,129.22,132.49,1316500,131.83
2013-12-30,129.68,130.58,128.74,129.68,641500,129.04
2013-12-23,128.14,130.40,127.38,130.01,483700,129.36
2013-12-16,124.60,127.88,123.76,127.54,1049200,126.91
2013-12-09,125.93,128.62,122.86,124.25,1278100,123.63
2013-12-02,126.11,127.38,122.34,125.46,1033200,124.84
2013-11-25,126.51,127.09,125.60,126.26,846200,125.03
2013-11-18,127.30,127.34,124.19,126.57,710500,125.33
2013-11-11,124.70,126.83,123.49,126.80,762000,125.56
2013-11-04,124.45,126.23,123.27,124.49,1021900,123.27
2013-10-28,124.94,128.12,123.26,124.09,1069000,122.88
2013-10-21,125.00,125.94,123.45,125.24,777800,124.02
2013-10-14,121.23,125.00,120.98,124.94,640900,123.72
2013-10-07,120.25,121.86,117.54,121.71,745400,120.52
2013-09-30,119.42,121.60,118.62,121.41,905400,120.22
2013-09-23,121.20,122.06,119.31,119.86,1340400,118.69
2013-09-16,121.48,124.41,121.01,121.73,1267600,120.54
2013-09-09,118.18,121.34,118.18,120.47,747500,119.29
2013-09-03,118.76,119.21,116.38,118.11,787800,116.96
2013-08-26,119.00,119.68,115.79,117.40,885300,115.66
2013-08-19,117.54,118.85,116.68,118.71,922600,116.95
2013-08-12,120.29,120.77,117.48,117.89,941200,116.14
2013-08-05,120.31,121.86,119.52,121.06,959900,119.27
2013-07-29,118.92,121.86,118.17,120.31,1595100,118.53
2013-07-22,117.17,119.41,116.56,119.00,1718400,117.24
2013-07-15,117.09,117.43,115.43,117.14,1311600,115.40
2013-07-08,116.30,118.61,115.60,117.09,1317400,115.35
2013-07-01,116.10,117.96,113.20,115.69,1093500,113.97
2013-06-24,113.05,116.44,112.78,115.16,1433400,113.45
2013-06-17,118.73,120.16,114.55,115.26,1576400,113.55
2013-06-10,114.53,118.31,113.31,117.91,1326600,116.16
2013-06-03,114.53,116.80,112.99,114.21,1441600,112.52
2013-05-28,116.90,116.90,114.33,114.33,827800,112.06
2013-05-20,115.96,116.90,114.36,115.96,961200,113.65
2013-05-13,113.99,116.28,113.01,116.20,991300,113.89
2013-05-06,115.00,115.00,113.30,114.00,1218300,111.73
2013-04-29,112.98,115.50,112.56,114.69,1300600,112.41
2013-04-22,109.97,113.87,108.30,112.73,1529800,110.49
2013-04-15,109.97,110.75,107.69,109.75,1586800,107.57
2013-04-10,111.73,113.37,110.80,111.00,1373100,108.79
