Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,195.17,195.50,192.28,194.92,1274700,194.92
2014-03-03,199.47,205.89,195.89,196.00,1413100,196.00
2014-02-24,188.65,204.17,188.17,201.18,1745500,201.18
2014-02-18,186.72,191.75,182.71,187.08,1739000,187.08
2014-02-10,184.75,188.88,177.19,185.30,2752200,185.30
2014-02-03,169.36,185.87,164.10,185.06,2359300,185.06
2014-01-27,172.50,175.02,165.90,169.32,1830600,169.32
2014-01-21,173.37,184.24,172.73,172.73,1797800,172.73
2014-01-13,169.31,179.60,163.90,174.70,1758100,174.70
2014-01-06,175.94,177.39,167.85,169.75,1533300,169.75
2013-12-30,187.23,187.46,173.90,176.05,1434100,176.05
2013-12-23,187.63,190.13,182.93,187.58,1245000,187.58
2013-12-16,179.51,190.80,177.35,187.29,1708300,187.29
2013-12-09,177.62,183.75,174.35,179.75,1434900,179.75
2013-12-02,178.00,186.70,174.92,177.21,1781900,177.21
2013-11-25,182.36,188.19,172.60,177.75,2098100,177.75
2013-11-18,195.03,195.50,181.11,186.68,1828800,186.68
2013-11-11,189.43,196.79,181.78,194.55,1987400,194.55
2013-11-04,207.22,221.20,184.06,189.83,3710000,189.83
2013-10-28,211.15,216.61,200.10,205.29,1503100,205.29
2013-10-21,224.23,227.42,196.40,210.77,2384200,210.77
2013-10-14,193.00,225.10,190.67,224.95,2266500,224.95
2013-10-07,198.88,199.69,188.20,195.00,1389800,195.00
2013-09-30,186.38,202.81,184.86,201.35,1459500,201.35
2013-09-23,179.65,189.45,179.29,188.78,833700,188.78
2013-09-16,185.00,189.33,181.78,182.74,972700,182.70
2013-09-09,181.89,190.15,178.58,184.83,803600,184.79
2013-09-03,177.09,185.24,175.92,180.86,1098200,180.82
2013-08-26,172.46,178.66,170.93,174.97,951400,174.93
2013-08-19,169.62,172.60,166.15,172.20,706100,172.16
2013-08-12,175.37,176.84,166.74,170.29,961600,170.25
2013-08-05,180.00,182.67,174.38,175.62,1054300,175.58
2013-07-29,154.29,181.65,152.04,181.21,1845400,181.17
2013-07-22,157.21,157.75,151.41,154.78,918400,154.75
2013-07-15,153.40,157.89,150.65,157.84,817400,157.81
2013-07-08,153.02,157.18,149.88,153.43,1179200,153.40
2013-07-01,146.19,152.62,146.19,152.55,1303100,152.52
2013-06-24,142.54,149.93,138.91,144.75,1362700,144.72
2013-06-17,149.36,157.81,141.88,144.61,2093100,144.58
2013-06-10,142.28,148.72,142.28,146.62,1159500,146.59
2013-06-03,139.80,144.94,137.44,144.29,999400,144.26
2013-05-28,143.91,146.44,138.62,138.68,1096500,138.65
2013-05-20,142.48,146.68,138.63,141.20,1679600,141.17
2013-05-13,136.82,142.59,136.69,142.25,1238300,142.22
2013-05-06,131.48,138.95,130.53,137.13,2444200,137.10
2013-04-29,118.89,130.62,117.94,129.64,1641300,129.61
2013-04-22,111.05,119.26,109.90,118.12,1338700,118.09
2013-04-15,115.79,117.50,109.18,110.59,1800400,110.57
2013-04-10,123.58,123.97,117.44,118.61,1191500,118.58
