Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,76.79,77.07,76.55,77.07,7704100,77.07
2014-03-03,74.62,77.20,73.04,76.79,9342700,76.79
2014-02-24,75.97,75.99,74.50,75.29,8125900,74.94
2014-02-18,76.25,76.55,75.11,75.61,8324200,75.26
2014-02-10,74.20,76.75,73.89,76.28,9080900,75.93
2014-02-03,73.67,74.47,72.03,74.41,11037100,74.06
2014-01-27,74.01,74.49,70.98,74.22,16111400,73.87
2014-01-21,75.00,75.90,74.06,74.08,9011000,73.74
2014-01-13,73.78,74.98,72.37,74.73,10207400,74.38
2014-01-06,73.08,74.50,72.55,73.87,8104200,73.53
2013-12-30,73.66,74.32,72.44,72.89,7298900,72.55
2013-12-23,73.52,74.02,72.52,73.80,5354200,73.46
2013-12-16,73.22,73.30,71.68,72.91,11496200,72.57
2013-12-09,73.88,74.19,72.49,72.58,9170700,72.24
2013-12-02,73.53,73.97,72.85,73.76,7583200,73.42
2013-11-25,71.09,73.89,70.96,73.58,11737800,73.24
2013-11-18,72.28,73.09,70.40,72.96,12551900,72.28
2013-11-11,67.30,72.18,67.18,72.17,12652800,71.49
2013-11-04,70.14,70.19,66.25,67.45,15972300,66.82
2013-10-28,68.39,70.00,67.96,69.90,9022300,69.24
2013-10-21,68.51,69.25,66.82,68.27,8928400,67.63
2013-10-14,67.11,69.10,66.92,68.40,7449400,67.76
2013-10-07,66.39,67.65,65.47,67.55,9180600,66.92
2013-09-30,66.94,68.19,66.55,68.02,7110300,67.38
2013-09-23,70.00,70.23,67.08,67.38,8895900,66.75
2013-09-16,69.02,70.04,67.97,69.06,13562100,68.41
2013-09-09,68.00,70.37,67.49,68.58,15667700,67.94
2013-09-03,66.92,68.45,66.52,68.02,9537100,67.38
2013-08-26,67.03,67.24,65.74,66.28,8590200,65.66
2013-08-19,66.88,67.40,66.19,67.15,8333800,66.17
2013-08-12,65.89,67.45,65.80,66.90,10904800,65.92
2013-08-05,65.41,66.64,65.00,66.27,10291900,65.30
2013-07-29,64.47,66.76,64.17,66.75,12833400,65.78
2013-07-22,61.68,64.80,61.19,64.61,16944200,63.67
2013-07-15,61.39,62.66,60.82,61.46,15832900,60.56
2013-07-08,60.75,62.02,59.02,62.02,17200700,61.12
2013-07-01,61.49,61.61,60.27,60.95,7729400,60.06
2013-06-24,60.00,62.92,59.46,61.09,17751400,60.20
2013-06-17,61.61,62.80,60.22,60.67,15172600,59.79
2013-06-10,62.11,62.20,60.75,61.38,11792000,60.49
2013-06-03,63.37,64.04,61.42,62.10,15674100,61.19
2013-05-28,64.64,64.88,63.48,63.48,11828900,62.21
2013-05-20,66.30,66.60,63.51,64.26,12904300,62.97
2013-05-13,64.34,66.67,64.18,66.61,10515700,65.28
2013-05-06,63.82,64.64,63.53,64.64,10077500,63.35
2013-04-29,61.80,63.85,61.25,63.77,16882400,62.49
2013-04-22,64.09,66.56,61.47,61.52,24890900,60.29
2013-04-15,66.23,66.67,63.03,63.93,12253200,62.65
2013-04-10,66.28,67.65,66.09,66.68,11014300,65.35
