Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,29.10,29.26,28.70,28.96,2093000,28.96
2014-03-03,28.76,29.43,28.32,29.31,3159100,29.31
2014-02-24,31.88,33.32,25.93,28.93,6970700,28.93
2014-02-18,31.98,32.67,31.48,31.66,1539100,31.66
2014-02-10,30.55,31.99,30.12,31.82,1318900,31.80
2014-02-03,30.80,31.30,29.81,30.64,2641700,30.62
2014-01-27,30.72,32.32,29.93,30.89,2278200,30.87
2014-01-21,30.20,31.36,29.93,30.84,2189900,30.82
2014-01-13,29.44,30.39,29.29,29.98,2328500,29.96
2014-01-06,30.25,30.31,29.06,29.55,2470700,29.53
2013-12-30,30.80,31.10,29.98,30.24,1520400,30.22
2013-12-23,30.22,31.10,30.22,30.80,1301000,30.78
2013-12-16,30.62,31.01,29.91,30.01,3027300,29.99
2013-12-09,31.50,31.58,29.55,30.69,3916400,30.67
2013-12-02,32.13,33.45,31.33,31.43,3337500,31.41
2013-11-25,33.25,33.25,31.97,32.02,1094400,32.00
2013-11-18,33.76,33.81,32.20,33.41,1739700,33.39
2013-11-11,32.45,33.87,31.77,33.48,3290200,33.46
2013-11-04,32.89,33.49,31.49,32.42,4295900,32.38
2013-10-28,33.05,33.49,32.11,32.80,1734700,32.76
2013-10-21,31.32,34.24,30.85,33.14,2654900,33.10
2013-10-14,29.27,31.72,29.23,31.22,2290000,31.18
2013-10-07,28.34,29.76,27.64,29.46,1899300,29.42
2013-09-30,27.65,28.86,27.47,28.68,1074000,28.64
2013-09-23,27.81,28.62,27.28,27.98,1529400,27.95
2013-09-16,28.39,29.23,27.77,27.97,1309200,27.94
2013-09-09,28.31,28.83,27.87,28.12,1166100,28.09
2013-09-03,27.60,28.74,27.46,28.25,1364600,28.22
2013-08-26,28.27,28.49,27.23,27.32,1018600,27.29
2013-08-19,28.66,28.81,27.28,28.20,1284500,28.17
2013-08-12,29.28,29.67,28.51,28.68,1340700,28.64
2013-08-05,30.25,31.52,29.41,29.51,1399500,29.45
2013-07-29,30.21,31.23,28.83,30.26,1759900,30.20
2013-07-22,29.83,30.91,29.71,30.46,1058300,30.40
2013-07-15,29.69,29.89,28.48,29.86,1214800,29.80
2013-07-08,29.54,30.33,28.96,29.62,1091500,29.56
2013-07-01,28.05,29.33,27.81,29.30,870500,29.24
2013-06-24,27.76,28.66,26.99,27.78,1563800,27.73
2013-06-17,29.61,29.89,27.54,28.24,1317800,28.19
2013-06-10,30.06,30.24,28.74,29.27,1292300,29.21
2013-06-03,28.42,30.21,28.17,30.00,1803100,29.94
2013-05-28,29.23,29.31,28.35,28.36,1500600,28.31
2013-05-20,29.17,30.26,27.99,28.67,1556900,28.60
2013-05-13,29.74,29.92,28.00,29.21,2109700,29.13
2013-05-06,27.87,30.05,27.29,29.88,2275800,29.80
2013-04-29,28.01,29.04,26.24,27.83,3253900,27.76
2013-04-22,28.50,29.07,27.51,27.77,1871900,27.70
2013-04-15,30.46,30.56,28.14,28.41,1948000,28.34
2013-04-10,31.32,31.61,30.42,30.80,1752300,30.72
