Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,77.61,78.23,76.91,77.72,364600,77.72
2014-03-03,74.45,78.35,73.96,77.88,585400,77.88
2014-02-24,72.84,75.91,72.57,75.32,607400,75.32
2014-02-18,71.50,72.90,70.57,72.74,527500,72.74
2014-02-10,71.10,72.28,70.31,71.70,508000,71.70
2014-02-03,71.10,71.55,64.36,71.43,826200,71.09
2014-01-27,71.75,72.05,69.97,71.19,498800,70.85
2014-01-21,74.56,75.20,71.74,71.88,505100,71.54
2014-01-13,72.94,74.45,71.80,74.30,464200,73.95
2014-01-06,73.14,73.40,71.60,73.00,522700,72.65
2013-12-30,73.75,73.97,72.31,72.79,331700,72.44
2013-12-23,72.33,73.79,72.08,73.40,302200,73.05
2013-12-16,68.28,71.90,68.03,71.39,639800,71.05
2013-12-09,68.91,69.30,66.16,67.69,499600,67.37
2013-12-02,69.83,70.11,68.01,68.75,414400,68.42
2013-11-25,69.04,70.35,68.51,69.84,436900,69.51
2013-11-18,68.15,69.37,67.50,69.01,531200,68.68
2013-11-11,64.76,68.05,64.63,68.04,506600,67.72
2013-11-04,66.58,67.07,63.99,64.58,587300,63.94
2013-10-28,65.27,66.52,64.91,66.28,559500,65.63
2013-10-21,62.00,65.61,60.98,65.34,831400,64.69
2013-10-14,59.25,62.09,59.02,62.04,475800,61.43
2013-10-07,59.33,59.69,56.93,59.62,451600,59.03
2013-09-30,58.76,61.11,58.59,59.93,430000,59.34
2013-09-23,60.27,60.44,58.91,59.70,436000,59.11
2013-09-16,60.07,62.03,59.77,60.40,501900,59.80
2013-09-09,57.00,60.64,56.94,59.46,516100,58.87
2013-09-03,56.40,57.58,55.17,56.98,730400,56.42
2013-08-26,59.39,59.70,55.52,55.61,579100,55.06
2013-08-19,58.85,59.77,57.66,59.30,524000,58.71
2013-08-12,60.52,60.81,58.52,58.89,625600,58.31
2013-08-05,64.56,64.78,60.48,60.64,715200,59.70
2013-07-29,61.45,64.99,60.38,64.79,521600,63.79
2013-07-22,62.81,63.50,60.92,61.64,702300,60.68
2013-07-15,60.49,62.84,60.21,62.67,550700,61.70
2013-07-08,60.34,61.28,59.61,60.82,563300,59.88
2013-07-01,60.75,61.47,59.37,60.24,454200,59.31
2013-06-24,59.77,61.62,58.36,60.79,367400,59.85
2013-06-17,62.65,62.95,59.42,60.49,519900,59.55
2013-06-10,63.15,63.64,61.10,62.09,446200,61.13
2013-06-03,63.15,63.48,59.76,62.78,546500,61.81
2013-05-28,63.86,64.45,62.56,63.04,590000,62.06
2013-05-20,63.04,64.68,61.24,62.59,570300,61.62
2013-05-13,60.89,62.52,60.14,62.52,504600,61.55
2013-05-06,58.44,61.40,58.44,61.20,678600,59.95
2013-04-29,56.99,59.79,56.33,58.46,656400,57.27
2013-04-22,57.12,57.70,52.58,56.87,1442300,55.71
2013-04-15,60.81,61.33,55.27,57.15,759900,55.98
2013-04-10,58.99,61.73,58.99,61.37,598900,60.12
