Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,54.34,54.86,53.99,54.36,2902500,54.36
2014-03-03,50.71,56.77,50.54,53.55,7299500,53.55
2014-02-24,48.74,50.94,48.73,50.83,2696600,50.20
2014-02-18,48.20,48.89,47.51,48.62,2409500,48.02
2014-02-10,48.91,48.99,46.55,48.21,3046600,47.62
2014-02-03,48.43,48.84,46.90,48.76,2629200,48.16
2014-01-27,49.18,49.49,47.58,48.50,2658600,47.90
2014-01-21,48.63,49.43,48.59,49.10,2043600,48.49
2014-01-13,48.26,48.71,48.05,48.32,2474200,47.72
2014-01-06,48.87,49.14,48.12,48.31,2468400,47.71
2013-12-30,49.96,50.21,48.63,48.81,1532600,48.21
2013-12-23,49.08,49.96,48.70,49.90,1164200,49.28
2013-12-16,49.07,49.10,48.01,48.77,2752200,48.17
2013-12-09,51.31,51.46,48.79,48.96,2852900,48.36
2013-12-02,50.39,51.35,49.71,51.26,1995200,50.00
2013-11-25,50.95,51.15,50.38,50.45,1110400,49.21
2013-11-18,52.57,52.57,50.23,50.87,1810700,49.62
2013-11-11,51.31,52.54,50.94,52.52,1472100,51.23
2013-11-04,51.62,51.92,50.43,51.29,1601400,50.03
2013-10-28,50.70,51.99,50.56,51.33,1581800,50.06
2013-10-21,50.69,50.90,49.72,50.62,2232600,49.37
2013-10-14,50.36,51.25,50.27,50.59,1702100,49.34
2013-10-07,48.94,50.61,48.61,50.60,1099200,49.35
2013-09-30,48.93,49.70,48.58,49.32,1106100,48.10
2013-09-23,50.14,50.14,48.96,49.34,981600,48.12
2013-09-16,49.21,50.73,49.20,49.96,1324600,48.73
2013-09-09,47.43,48.98,47.12,48.79,1367400,47.59
2013-09-03,47.90,48.17,46.82,47.41,1567400,46.24
2013-08-26,48.54,48.65,47.22,47.63,1180400,45.84
2013-08-19,48.33,48.75,47.68,48.46,2617500,46.64
2013-08-12,50.57,50.59,48.29,48.42,1290600,46.61
2013-08-05,50.54,51.00,50.23,50.64,1089300,48.74
2013-07-29,50.15,50.68,49.29,50.66,1512500,48.76
2013-07-22,52.53,52.53,49.42,50.43,2016900,48.54
2013-07-15,51.26,52.93,51.04,52.80,1456700,50.82
2013-07-08,49.21,51.76,49.06,51.35,1587900,49.43
2013-07-01,48.88,49.10,48.21,48.81,1201600,46.98
2013-06-24,46.92,49.30,46.63,48.37,2074600,46.56
2013-06-17,48.55,49.40,46.05,47.19,2274400,45.42
2013-06-10,48.04,48.64,47.50,48.42,1652400,46.61
2013-06-03,48.16,49.18,47.03,47.82,1898100,46.03
2013-05-28,49.59,50.15,48.10,48.11,2748600,45.70
2013-05-20,49.62,50.01,48.32,49.26,3113000,46.79
2013-05-13,47.72,49.74,47.50,49.71,1431500,47.22
2013-05-06,47.62,47.92,47.10,47.78,1091300,45.39
2013-04-29,46.91,47.95,46.83,47.69,1747400,45.30
2013-04-22,45.33,46.95,44.55,46.90,2124700,44.55
2013-04-15,46.01,46.01,44.60,45.39,1830000,43.12
2013-04-10,45.62,46.19,45.38,46.18,1801200,43.87
