Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,33.27,33.39,32.75,33.25,1295300,33.25
2014-03-03,33.20,33.78,32.50,33.35,1228200,33.35
2014-02-24,32.47,33.47,32.12,33.36,1876400,33.36
2014-02-18,32.23,32.80,31.50,32.28,1439600,32.28
2014-02-10,31.60,32.63,31.25,32.14,970800,32.14
2014-02-03,31.67,32.11,31.13,31.61,1543600,31.61
2014-01-27,32.50,32.98,31.18,31.37,2214500,31.37
2014-01-21,32.99,33.82,31.80,32.51,3094000,32.51
2014-01-13,33.47,33.67,32.37,32.75,1518800,32.75
2014-01-06,34.62,34.65,33.48,33.83,1225600,33.83
2013-12-30,34.86,35.38,34.29,34.47,925100,34.47
2013-12-23,33.83,35.03,33.73,34.79,806400,34.79
2013-12-16,33.72,34.25,32.75,33.69,1493300,33.69
2013-12-09,34.16,34.36,33.19,33.64,869400,33.64
2013-12-02,34.63,34.87,33.79,34.19,1231600,34.19
2013-11-25,35.55,35.74,34.28,34.62,910700,34.62
2013-11-18,37.23,37.41,35.55,35.67,1196900,35.67
2013-11-11,37.19,37.81,36.84,37.28,982700,37.28
2013-11-04,36.16,37.40,35.78,37.19,1903600,37.19
2013-10-28,36.40,37.42,35.57,35.92,1036000,35.92
2013-10-21,36.64,37.04,35.92,36.55,1072000,36.55
2013-10-14,36.24,37.20,35.86,36.64,1402700,36.64
2013-10-07,36.92,36.99,35.80,36.92,1224400,36.92
2013-09-30,36.50,37.57,36.27,37.35,1212900,37.35
2013-09-23,36.74,38.01,36.47,36.81,947900,36.81
2013-09-16,38.14,38.65,36.76,36.90,1342700,36.90
2013-09-09,37.41,38.45,37.41,37.87,1347000,37.87
2013-09-03,35.78,37.52,35.03,37.26,1415200,37.26
2013-08-26,36.24,36.70,35.33,35.42,826900,35.42
2013-08-19,35.55,36.33,34.79,36.10,658500,36.10
2013-08-12,35.86,36.43,35.29,35.70,1232300,35.70
2013-08-05,35.21,36.47,34.51,36.08,1517900,36.08
2013-07-29,34.25,35.44,33.89,35.38,844600,35.38
2013-07-22,35.61,36.06,34.22,34.41,791700,34.41
2013-07-15,35.22,35.75,34.62,35.48,1202100,35.48
2013-07-08,34.97,35.59,34.65,35.16,948700,35.16
2013-07-01,34.30,34.99,33.86,34.63,761000,34.63
2013-06-24,33.58,34.63,32.48,34.07,1072500,34.07
2013-06-17,33.64,34.64,33.25,34.07,1180000,34.07
2013-06-10,33.84,33.87,32.48,33.44,743700,33.44
2013-06-03,33.39,34.12,32.96,33.72,1264100,33.72
2013-05-28,35.04,35.05,33.23,33.24,879800,33.24
2013-05-20,35.67,36.51,33.98,34.50,1302600,34.50
2013-05-13,34.78,36.05,34.08,35.70,1006700,35.70
2013-05-06,34.28,35.03,33.87,34.97,955700,34.97
2013-04-29,32.10,34.44,30.61,34.13,1179800,34.13
2013-04-22,31.42,32.57,30.87,31.88,912500,31.88
2013-04-15,32.64,32.64,30.21,31.24,1435600,31.24
2013-04-10,33.52,34.26,32.74,33.04,722200,33.04
