Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,328.43,332.75,324.70,329.20,939700,329.20
2014-03-03,328.09,352.49,304.20,328.11,1694700,328.11
2014-02-24,340.01,348.25,322.58,332.50,1086300,332.50
2014-02-18,324.69,340.24,323.02,334.98,1173600,334.98
2014-02-10,304.00,331.64,297.49,323.99,1779800,323.99
2014-02-03,288.91,300.10,274.02,299.79,930800,299.79
2014-01-27,279.70,294.99,267.56,288.59,952000,288.59
2014-01-21,293.82,298.73,279.01,279.61,768100,279.61
2014-01-13,275.61,304.42,265.30,292.00,1286900,292.00
2014-01-06,270.91,277.83,262.97,274.38,858400,274.38
2013-12-30,275.67,279.83,269.74,271.75,485400,271.75
2013-12-23,279.88,283.37,273.00,277.04,399900,277.04
2013-12-16,269.29,279.24,257.69,278.69,951800,278.69
2013-12-09,284.52,287.50,265.25,269.59,763600,269.59
2013-12-02,292.41,297.59,279.25,282.74,612500,282.74
2013-11-25,296.96,297.16,288.96,293.86,527200,293.86
2013-11-18,280.00,294.78,268.01,293.68,758200,293.68
2013-11-11,283.86,297.00,273.76,280.00,1100800,280.00
2013-11-04,285.94,305.67,271.00,283.07,1223400,283.07
2013-10-28,302.90,308.69,284.00,285.79,597300,285.79
2013-10-21,304.91,307.14,293.91,302.24,537900,302.24
2013-10-14,287.38,310.00,284.10,303.56,664900,303.56
2013-10-07,303.93,307.99,271.15,290.30,790000,290.30
2013-09-30,304.59,319.83,300.18,308.60,764200,308.60
2013-09-23,299.19,310.43,291.60,305.65,670600,305.65
2013-09-16,291.73,311.00,285.29,300.80,1128600,300.80
2013-09-09,267.91,290.00,267.91,289.97,640100,289.97
2013-09-03,245.99,270.12,245.99,267.57,729300,267.57
2013-08-26,239.00,247.76,235.02,242.31,608100,242.31
2013-08-19,229.90,240.22,227.64,238.85,548000,238.85
2013-08-12,248.59,249.15,230.78,230.98,568900,230.98
2013-08-05,273.30,276.00,249.17,250.01,845200,250.01
2013-07-29,267.43,278.73,265.32,272.39,479200,272.39
2013-07-22,278.11,282.27,261.49,269.21,621000,269.21
2013-07-15,270.50,275.00,258.32,274.86,665400,274.86
2013-07-08,234.81,268.68,225.78,266.00,845400,266.00
2013-07-01,231.60,239.78,228.01,233.48,648900,233.48
2013-06-24,212.90,236.05,206.30,224.88,1276500,224.88
2013-06-17,238.20,244.70,212.82,215.47,1270600,215.47
2013-06-10,258.14,258.60,232.88,236.93,579900,236.93
2013-06-03,241.83,261.75,227.47,257.50,962900,257.50
2013-05-28,254.18,259.46,241.87,241.88,588400,241.88
2013-05-20,265.79,274.50,245.52,250.31,785300,250.31
2013-05-13,273.54,283.99,261.00,266.97,884900,266.97
2013-05-06,264.15,274.60,255.88,273.50,1083100,273.50
2013-04-29,217.72,270.00,212.50,266.16,5110400,266.16
2013-04-22,213.57,220.98,208.54,216.60,763100,216.60
2013-04-15,215.00,217.72,203.70,212.58,1058100,212.58
2013-04-10,191.68,216.20,190.32,215.84,1139500,215.84
