Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,60.36,60.60,59.08,59.51,953200,59.51
2014-03-03,58.16,61.45,57.63,60.52,1189300,60.52
2014-02-24,58.71,60.00,58.43,58.99,1139700,58.99
2014-02-18,58.32,59.45,57.79,58.69,1189500,58.69
2014-02-10,56.82,58.65,56.00,58.32,1384400,58.32
2014-02-03,56.60,57.13,54.05,56.99,1165100,56.99
2014-01-27,56.69,57.42,54.90,56.50,2112900,56.50
2014-01-21,59.03,60.19,56.69,56.73,1623300,56.73
2014-01-13,58.69,59.94,57.40,58.59,1842900,58.59
2014-01-06,56.18,57.97,55.93,56.81,1747800,56.81
2013-12-30,56.24,56.61,55.39,55.78,1237400,55.78
2013-12-23,56.10,56.98,55.16,56.24,1694200,56.24
2013-12-16,47.10,58.71,46.70,56.10,5049800,56.10
2013-12-09,47.03,47.55,46.05,46.77,1739200,46.77
2013-12-02,46.84,47.17,45.45,46.77,1545400,46.77
2013-11-25,47.30,47.34,46.50,46.85,767500,46.85
2013-11-18,47.26,47.34,46.10,47.11,1592800,47.11
2013-11-11,43.35,47.66,43.25,47.10,3033600,47.10
2013-11-04,43.29,44.49,42.42,43.32,1480800,43.32
2013-10-28,43.36,44.49,42.92,43.23,1313900,43.23
2013-10-21,43.31,44.04,42.14,43.40,2188900,43.40
2013-10-14,42.62,43.75,41.89,43.29,2745200,43.29
2013-10-07,44.61,45.71,42.35,42.82,2836000,42.82
2013-09-30,45.55,46.45,44.31,45.05,2283500,45.05
2013-09-23,53.30,53.41,45.85,45.95,5059600,45.95
2013-09-16,52.99,54.38,52.42,53.22,1066300,53.22
2013-09-09,51.26,53.91,51.10,52.43,1001100,52.43
2013-09-03,51.00,51.47,50.27,51.06,678600,51.06
2013-08-26,51.52,52.23,50.02,50.52,757300,50.52
2013-08-19,51.49,52.39,50.92,51.57,1087600,51.57
2013-08-12,52.10,53.72,51.28,51.51,1268200,51.51
2013-08-05,52.31,52.87,50.56,52.46,944100,52.46
2013-07-29,50.55,52.80,50.30,52.44,1255200,52.44
2013-07-22,49.07,51.78,48.76,50.83,1429600,50.83
2013-07-15,50.24,50.92,49.14,49.38,1092900,49.38
2013-07-08,48.50,50.90,47.74,50.26,1273200,50.26
2013-07-01,48.04,48.38,47.04,48.34,940100,48.34
2013-06-24,45.88,48.82,44.95,47.82,2511300,47.82
2013-06-17,45.83,48.15,45.33,46.45,3243400,46.45
2013-06-10,46.26,46.85,45.08,45.81,2261200,45.81
2013-06-03,48.29,48.29,44.92,46.24,3055400,46.24
2013-05-28,49.40,49.46,47.35,48.23,2547500,48.23
2013-05-20,54.47,54.70,48.25,48.49,2962300,48.49
2013-05-13,51.90,55.59,51.38,54.99,2535300,54.99
2013-05-06,49.80,51.92,49.50,51.90,1673000,51.90
2013-04-29,48.78,49.73,47.59,49.65,1490600,49.65
2013-04-22,49.28,49.59,48.10,48.53,1338900,48.53
2013-04-15,50.20,51.35,48.55,49.25,2251900,49.25
2013-04-10,48.35,50.56,48.35,50.55,3139000,50.55
