Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,42.03,42.16,41.27,41.86,5255200,41.86
2014-03-03,41.36,43.00,41.31,42.07,5211400,42.07
2014-02-24,43.20,44.10,41.44,42.40,7491600,42.40
2014-02-18,42.96,43.52,42.05,43.14,5010700,43.14
2014-02-10,42.50,44.20,42.02,43.13,4795600,42.57
2014-02-03,43.08,43.14,41.44,42.33,5097500,41.78
2014-01-27,44.58,45.37,42.80,43.28,4759300,42.72
2014-01-21,46.89,47.12,44.14,44.25,5534400,43.67
2014-01-13,48.49,48.53,46.45,46.69,4631100,46.08
2014-01-06,49.02,49.22,47.98,48.53,3514200,47.90
2013-12-30,49.42,49.58,48.47,48.67,2659700,48.04
2013-12-23,47.51,49.25,47.04,48.86,2355100,48.22
2013-12-16,48.10,48.42,46.77,47.00,4530500,46.39
2013-12-09,49.66,49.79,48.14,48.22,3111600,47.59
2013-12-02,50.25,50.68,49.52,49.77,3320500,49.12
2013-11-25,51.53,51.61,50.18,50.38,3297200,49.72
2013-11-18,54.94,55.13,51.56,52.09,4707500,51.41
2013-11-11,54.85,55.74,53.89,54.44,6881300,53.73
2013-11-04,47.70,53.84,47.69,53.45,7742100,52.22
2013-10-28,49.08,49.16,46.33,47.56,21008600,46.46
2013-10-21,46.13,49.52,46.05,49.50,8728700,48.36
2013-10-14,44.97,46.25,44.72,45.89,4594400,44.83
2013-10-07,44.80,45.41,44.19,45.19,2583300,44.15
2013-09-30,44.50,45.69,44.32,45.45,2360300,44.40
2013-09-23,45.20,45.61,44.40,44.92,2988800,43.88
2013-09-16,47.05,47.53,45.00,45.06,3804500,44.02
2013-09-09,46.89,47.72,46.46,46.79,2225100,45.71
2013-09-03,45.82,47.01,45.10,46.47,3161500,45.40
2013-08-26,47.14,47.35,45.11,45.13,2273500,44.09
2013-08-19,46.91,47.41,45.76,46.87,2495200,45.79
2013-08-12,47.44,47.86,46.62,47.00,2718300,45.37
2013-08-05,48.43,49.30,47.24,47.51,3289600,45.86
2013-07-29,47.69,48.46,46.85,48.35,2280700,46.67
2013-07-22,49.83,50.45,47.61,47.69,2561200,46.03
2013-07-15,50.02,50.09,48.83,49.74,2277500,48.01
2013-07-08,48.10,49.99,47.91,49.99,1893200,48.25
2013-07-01,48.16,48.71,47.13,47.79,1914600,46.13
2013-06-24,47.30,48.47,46.02,47.95,2429400,46.28
2013-06-17,49.70,50.20,47.74,47.97,2856500,46.30
2013-06-10,50.90,50.96,48.02,49.29,3342200,47.58
2013-06-03,50.45,51.47,49.86,50.68,2310200,48.92
2013-05-28,53.04,53.05,50.21,50.23,2557700,48.48
2013-05-20,54.03,54.22,50.72,52.06,3998100,49.71
2013-05-13,54.36,55.79,53.50,54.03,3580800,51.59
2013-05-06,53.55,55.44,53.50,54.64,3201800,52.18
2013-04-29,51.46,53.85,50.16,53.24,2738500,50.84
2013-04-22,48.55,51.63,48.00,51.16,2233400,48.85
2013-04-15,49.97,49.97,46.54,48.53,3885700,46.34
2013-04-10,50.91,51.90,49.74,50.51,2993000,48.23
