Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,125.20,125.20,123.25,123.74,612300,123.74
2014-03-03,119.90,124.78,119.90,124.72,756700,124.72
2014-02-24,119.35,124.11,119.06,122.84,728100,122.84
2014-02-18,116.89,120.40,116.89,119.32,1006100,119.32
2014-02-10,112.58,117.12,111.60,117.00,874400,117.00
2014-02-03,114.90,115.66,108.83,112.35,1388800,111.79
2014-01-27,114.21,118.03,111.79,114.84,1293800,114.26
2014-01-21,120.18,121.01,112.87,112.99,704900,112.42
2014-01-13,116.46,119.71,114.77,119.23,894300,118.63
2014-01-06,118.20,118.74,115.03,116.96,609000,116.37
2013-12-30,117.76,118.81,116.01,117.83,486300,117.24
2013-12-23,117.26,119.03,116.19,117.98,449000,117.39
2013-12-16,110.81,117.11,109.63,116.51,766700,115.93
2013-12-09,111.44,112.95,108.78,110.52,616900,109.97
2013-12-02,113.14,113.56,108.35,111.70,842100,111.14
2013-11-25,114.21,114.76,113.02,113.58,424400,113.01
2013-11-18,112.61,114.17,110.30,114.07,684900,113.50
2013-11-11,111.82,114.07,111.42,111.98,783500,111.42
2013-11-04,110.01,113.95,108.12,111.72,951500,110.59
2013-10-28,110.30,112.26,108.84,109.43,722000,108.33
2013-10-21,110.40,112.08,109.01,110.60,572600,109.48
2013-10-14,108.11,110.69,105.59,110.42,762900,109.31
2013-10-07,106.01,108.77,103.95,108.59,770300,107.49
2013-09-30,105.62,108.77,102.98,107.13,616300,106.05
2013-09-23,107.20,108.42,106.46,107.18,524600,106.10
2013-09-16,106.93,109.72,105.38,107.40,792100,106.32
2013-09-09,100.42,109.22,99.98,105.04,799900,103.98
2013-09-03,98.55,101.22,96.98,100.04,626800,99.03
2013-08-26,99.18,100.15,96.77,97.23,597700,96.25
2013-08-19,96.74,99.95,96.31,98.80,591600,97.80
2013-08-12,98.36,100.13,93.47,97.04,681200,96.06
2013-08-05,100.00,100.22,98.13,98.72,698400,97.72
2013-07-29,90.40,100.13,90.15,100.10,1373500,98.57
2013-07-22,92.20,93.30,89.26,90.81,711600,89.42
2013-07-15,90.83,93.38,90.67,92.82,792400,91.40
2013-07-08,87.47,91.03,86.80,90.91,808000,89.52
2013-07-01,84.11,86.79,83.59,86.74,782300,85.41
2013-06-24,82.79,84.64,80.60,83.14,1110300,81.87
2013-06-17,87.24,88.45,83.19,83.85,769900,82.57
2013-06-10,86.84,87.10,83.26,86.69,703800,85.36
2013-06-03,88.41,89.07,84.98,86.37,845200,85.05
2013-05-28,89.34,90.27,87.66,88.02,625900,86.67
2013-05-20,90.61,91.67,86.65,87.41,687800,86.07
2013-05-13,87.68,90.96,87.53,90.95,767100,89.56
2013-05-06,84.98,88.79,84.61,87.92,787300,86.57
2013-04-29,85.21,85.81,82.21,85.09,978900,83.30
2013-04-22,83.18,88.00,82.03,84.87,1259500,83.08
2013-04-15,86.99,87.02,82.25,83.18,1036500,81.43
2013-04-10,87.66,89.79,87.29,87.63,906400,85.78
