Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,87.88,87.88,84.36,86.76,1736800,86.72
2014-03-03,85.79,86.93,82.39,85.08,1557200,85.04
2014-02-24,86.19,90.76,82.69,86.05,2215500,86.01
2014-02-18,85.42,88.49,85.31,85.67,1922900,85.63
2014-02-10,83.58,85.88,82.91,85.49,1326000,85.45
2014-02-03,86.50,88.88,82.37,84.03,2498900,83.99
2014-01-27,86.00,87.85,83.00,86.19,1922000,86.15
2014-01-21,82.96,88.71,82.31,86.15,1901100,86.11
2014-01-13,81.75,84.97,79.28,82.64,1566100,82.60
2014-01-06,81.06,83.49,80.06,81.71,1361900,81.67
2013-12-30,84.00,85.49,80.40,80.53,1499200,80.49
2013-12-23,83.59,83.99,82.48,83.56,774700,83.52
2013-12-16,79.29,83.38,77.93,82.45,2105000,82.41
2013-12-09,79.55,83.12,78.74,79.69,1653800,79.65
2013-12-02,77.73,80.85,75.21,79.06,1641000,78.98
2013-11-25,78.99,79.90,77.24,77.65,859100,77.58
2013-11-18,74.65,79.50,73.24,78.82,1673300,78.74
2013-11-11,74.00,75.82,73.91,74.65,1567000,74.58
2013-11-04,74.47,76.64,73.04,75.78,1911000,75.71
2013-10-28,74.11,79.45,73.30,75.38,2571000,75.31
2013-10-21,77.72,78.36,72.54,74.73,2432300,74.66
2013-10-14,78.57,81.42,76.96,77.84,1540200,77.77
2013-10-07,75.67,79.69,73.55,78.90,1752400,78.82
2013-09-30,76.44,76.86,74.63,76.56,1483600,76.49
2013-09-23,78.18,78.45,75.68,77.31,1470700,77.24
2013-09-16,79.39,81.00,78.23,78.68,1223100,78.60
2013-09-09,77.19,79.85,77.09,78.64,1073500,78.56
2013-09-03,75.98,77.90,75.33,76.50,1451300,76.39
2013-08-26,77.32,77.87,74.69,74.98,943700,74.87
2013-08-19,77.78,78.01,75.53,77.06,1121900,76.95
2013-08-12,79.18,79.82,76.40,77.66,987500,77.55
2013-08-05,81.25,82.40,77.89,79.50,1212000,79.38
2013-07-29,80.80,81.86,78.63,81.36,1273000,81.24
2013-07-22,78.32,85.23,75.33,80.46,2644900,80.34
2013-07-15,77.45,78.63,74.66,78.55,1469900,78.44
2013-07-08,78.40,80.36,76.69,77.30,1561700,77.19
2013-07-01,77.62,79.16,76.49,77.62,1365800,77.51
2013-06-24,75.74,81.13,74.53,77.32,1851700,77.21
2013-06-17,74.17,80.24,74.17,77.30,2149300,77.19
2013-06-10,76.27,76.95,72.79,73.37,1228800,73.26
2013-06-03,75.29,76.37,72.77,76.16,1179800,76.01
2013-05-28,78.42,78.66,75.17,75.18,1028500,75.03
2013-05-20,76.10,79.50,75.28,77.07,1571300,76.92
2013-05-13,75.72,77.05,74.71,76.50,1085200,76.35
2013-05-06,74.00,76.50,73.33,76.18,1712600,76.03
2013-04-29,74.71,75.71,71.43,74.43,1621500,74.28
2013-04-22,75.30,78.69,73.07,74.00,1786500,73.85
2013-04-15,77.87,77.87,71.14,75.55,2892400,75.40
2013-04-10,80.26,81.02,78.47,78.91,1455600,78.75
