Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,34.10,34.37,34.00,34.22,1147000,34.22
2014-03-03,33.87,34.45,33.84,34.24,1470600,34.24
2014-02-24,33.85,34.22,33.19,34.11,1766300,34.11
2014-02-18,34.34,34.36,33.42,33.76,2295200,33.76
2014-02-10,33.30,34.48,32.89,34.40,1859900,34.40
2014-02-03,32.03,33.83,31.42,33.40,3010900,33.40
2014-01-27,31.83,32.34,31.64,32.03,2720200,32.03
2014-01-21,32.33,32.43,31.67,31.74,2341900,31.74
2014-01-13,32.30,32.40,31.98,32.25,1903300,32.25
2014-01-06,33.08,33.11,32.27,32.42,2532900,32.42
2013-12-30,33.35,33.43,32.80,32.98,1397100,32.98
2013-12-23,33.53,33.90,33.31,33.58,889100,33.58
2013-12-16,34.00,34.03,32.45,33.29,2484800,33.29
2013-12-09,34.92,34.95,33.65,33.94,1376600,33.94
2013-12-02,34.97,35.06,34.14,34.90,1243300,34.90
2013-11-25,35.12,35.15,34.67,34.91,1013200,34.91
2013-11-18,35.19,35.29,34.34,35.02,1022900,35.02
2013-11-11,34.33,35.13,33.85,35.11,1267900,35.11
2013-11-04,34.23,34.38,33.84,34.32,1881300,34.32
2013-10-28,33.74,34.96,33.22,34.34,1483800,34.34
2013-10-21,33.20,33.83,32.93,33.74,1503200,33.74
2013-10-14,32.89,33.30,32.81,33.12,1807900,33.12
2013-10-07,32.79,33.09,32.29,33.05,1729200,33.05
2013-09-30,33.50,33.64,32.58,33.03,1322600,33.03
2013-09-23,34.08,34.36,33.55,33.75,1335600,33.75
2013-09-16,33.42,34.20,33.19,34.18,2168300,33.92
2013-09-09,32.24,33.30,32.24,33.00,1722700,32.75
2013-09-03,32.84,32.86,31.94,32.17,1658300,31.92
2013-08-26,33.76,33.87,32.43,32.51,1103100,32.26
2013-08-19,33.41,33.82,33.15,33.78,781600,33.52
2013-08-12,34.66,34.99,33.30,33.49,1909200,33.23
2013-08-05,34.42,35.04,34.15,34.83,1144100,34.56
2013-07-29,34.14,34.58,33.67,34.54,1719300,34.28
2013-07-22,35.27,35.61,33.99,34.27,1447500,34.01
2013-07-15,35.26,35.59,35.00,35.30,799100,35.03
2013-07-08,34.20,35.50,34.05,35.26,1088600,34.99
2013-07-01,33.97,34.31,33.47,34.15,1204200,33.89
2013-06-24,33.24,34.11,32.75,33.94,1946300,33.68
2013-06-17,34.33,34.77,33.15,33.45,1492200,32.97
2013-06-10,33.96,34.19,33.33,34.06,1333800,33.57
2013-06-03,34.12,34.39,32.81,33.92,1925600,33.43
2013-05-28,34.83,34.92,33.85,34.10,1920000,33.61
2013-05-20,34.88,35.28,34.49,34.62,1370000,34.12
2013-05-13,33.97,34.98,33.69,34.89,2167300,34.38
2013-05-06,34.43,35.08,33.94,33.95,1448300,33.46
2013-04-29,33.76,34.62,33.58,34.48,1706800,33.98
2013-04-22,32.64,34.54,32.28,34.31,1833200,33.81
2013-04-15,33.39,33.48,32.10,32.68,1632700,32.21
2013-04-10,32.80,33.79,32.74,33.52,2342100,33.03
