Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,48.63,48.80,48.37,48.75,768500,48.75
2014-03-03,49.20,49.95,48.18,48.64,829700,48.64
2014-02-24,49.57,49.98,49.02,49.50,789800,48.97
2014-02-18,48.79,49.97,48.23,49.60,1165200,49.07
2014-02-10,46.56,48.75,46.29,48.70,720900,48.18
2014-02-03,47.28,48.06,45.77,46.64,707600,46.14
2014-01-27,46.63,47.39,45.88,47.27,965400,46.77
2014-01-21,46.50,47.37,46.36,46.56,729900,46.06
2014-01-13,46.74,46.92,46.09,46.34,567500,45.85
2014-01-06,45.96,47.03,45.58,46.80,850800,46.30
2013-12-30,47.02,47.32,45.64,45.96,795500,45.47
2013-12-23,47.37,47.64,46.85,46.96,470100,46.46
2013-12-16,46.74,47.51,46.25,47.25,1185800,46.75
2013-12-09,47.49,47.69,46.24,46.54,1137600,46.04
2013-12-02,47.16,47.75,46.73,47.64,883300,47.13
2013-11-25,47.57,47.70,46.80,47.17,763100,46.17
2013-11-18,47.25,47.68,46.89,47.55,788000,46.54
2013-11-11,46.90,47.22,45.73,47.21,626000,46.21
2013-11-04,47.33,48.15,46.18,46.90,669500,45.90
2013-10-28,47.47,47.79,45.96,47.21,642300,46.21
2013-10-21,46.52,47.89,46.19,47.62,545900,46.61
2013-10-14,46.17,46.86,44.98,46.58,674500,45.59
2013-10-07,44.79,46.21,44.75,46.14,822500,45.16
2013-09-30,45.78,46.27,44.96,45.00,939500,44.04
2013-09-23,46.51,47.50,45.93,46.03,804300,45.05
2013-09-16,46.75,47.98,46.07,46.51,766400,45.52
2013-09-09,46.31,46.62,45.72,46.24,679400,45.26
2013-09-03,48.14,48.59,46.05,46.17,795500,45.19
2013-08-26,48.92,49.05,47.91,48.12,457200,46.58
2013-08-19,48.82,49.30,48.10,48.92,373500,47.36
2013-08-12,51.27,51.36,48.61,48.92,423000,47.36
2013-08-05,52.03,52.44,50.90,51.46,507100,49.82
2013-07-29,51.92,52.91,51.65,52.22,560100,50.55
2013-07-22,52.39,52.93,51.63,52.15,388400,50.48
2013-07-15,50.89,52.54,50.73,52.48,461100,50.80
2013-07-08,48.71,51.10,48.44,51.04,575600,49.41
2013-07-01,49.58,49.63,47.84,48.51,494100,46.96
2013-06-24,47.70,49.61,47.24,49.10,882600,47.53
2013-06-17,49.75,50.05,47.22,48.15,916500,46.61
2013-06-10,49.99,50.21,48.51,49.46,724100,47.88
2013-06-03,50.49,50.91,48.84,49.87,710600,48.28
2013-05-28,51.67,51.88,50.07,50.44,971500,48.33
2013-05-20,53.42,54.05,51.08,51.33,583600,49.18
2013-05-13,52.34,53.56,52.02,53.48,595700,51.24
2013-05-06,53.82,53.96,52.01,52.55,542400,50.35
2013-04-29,53.40,54.41,53.27,53.91,723400,51.66
2013-04-22,52.80,53.71,52.10,53.20,668000,50.97
2013-04-15,52.45,52.82,51.14,52.81,475800,50.60
2013-04-10,51.44,52.60,51.44,52.60,685900,50.40
