Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,37.44,37.49,37.03,37.06,2353200,37.06
2014-03-03,37.14,37.87,36.74,37.41,2689200,37.41
2014-02-24,37.73,38.05,36.74,37.28,2916800,37.28
2014-02-18,37.05,38.00,36.89,37.64,2839200,37.64
2014-02-10,36.59,37.92,36.33,37.05,3474700,37.05
2014-02-03,35.93,37.37,34.34,36.79,4505500,36.46
2014-01-27,34.69,36.35,34.24,35.95,3127300,35.63
2014-01-21,35.23,35.60,34.65,34.65,2875700,34.34
2014-01-13,35.19,35.24,34.23,35.09,2954600,34.78
2014-01-06,35.21,35.66,34.47,35.19,2699100,34.88
2013-12-30,34.97,35.74,34.91,35.18,2446700,34.87
2013-12-23,34.30,35.05,34.24,34.92,1541900,34.61
2013-12-16,33.51,34.30,32.80,34.16,3895900,33.86
2013-12-09,34.10,34.42,32.93,33.22,3537600,32.93
2013-12-02,33.61,33.99,32.83,33.98,3033400,33.68
2013-11-25,34.07,34.15,33.52,33.55,2564300,33.25
2013-11-18,34.41,34.44,33.52,34.06,2611200,33.76
2013-11-11,34.20,34.56,33.85,34.34,2660500,34.04
2013-11-04,35.67,36.01,33.45,34.12,4071100,33.82
2013-10-28,35.95,36.16,35.27,35.40,2539300,34.78
2013-10-21,35.24,36.14,35.16,35.95,2480000,35.32
2013-10-14,34.64,35.35,34.19,35.31,2786700,34.69
2013-10-07,34.25,34.93,33.73,34.84,2355400,34.23
2013-09-30,34.03,34.98,33.92,34.58,2761100,33.98
2013-09-23,33.84,34.46,33.69,34.17,2525100,33.57
2013-09-16,34.01,34.47,33.23,34.06,3478200,33.47
2013-09-09,32.84,33.70,32.83,33.58,3174500,32.99
2013-09-03,33.33,33.36,32.57,32.79,3764300,32.22
2013-08-26,33.61,33.84,32.99,33.11,2823800,32.53
2013-08-19,33.48,33.77,33.28,33.53,3282200,32.94
2013-08-12,34.68,34.94,33.41,33.54,3418600,32.95
2013-08-05,35.89,36.40,34.55,34.83,4415000,34.22
2013-07-29,36.70,37.11,35.70,35.99,4905400,35.06
2013-07-22,36.40,36.82,35.59,36.75,6384300,35.80
2013-07-15,35.46,36.37,35.39,36.33,2706400,35.39
2013-07-08,35.00,35.82,34.92,35.61,2833600,34.69
2013-07-01,34.76,34.96,34.26,34.86,2578000,33.96
2013-06-24,33.53,34.79,33.10,34.46,3958400,33.57
2013-06-17,34.35,34.83,33.13,33.66,5524600,32.79
2013-06-10,30.86,34.43,30.27,34.34,7524300,33.45
2013-06-03,30.68,31.06,29.62,30.59,4199700,29.80
2013-05-28,31.63,31.67,30.54,30.57,3086100,29.78
2013-05-20,31.66,32.05,31.11,31.34,2183600,30.53
2013-05-13,30.80,31.83,30.63,31.68,3231300,30.86
2013-05-06,30.92,31.17,30.59,30.79,2864400,29.99
2013-04-29,31.18,31.53,30.64,30.94,5455300,29.84
2013-04-22,30.66,31.43,30.33,31.17,5976300,30.07
2013-04-15,30.36,30.70,29.75,30.57,3301300,29.49
2013-04-10,30.50,30.89,30.28,30.53,2754400,29.45
