Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,205.82,206.86,204.59,206.10,565300,206.10
2014-03-03,198.54,208.63,197.59,206.71,748600,206.71
2014-02-24,193.61,201.50,193.61,200.48,836900,200.48
2014-02-18,191.01,194.91,190.77,193.59,835300,193.05
2014-02-10,181.34,191.94,180.82,191.17,840100,190.64
2014-02-03,183.54,183.68,174.29,182.56,1040200,182.05
2014-01-27,191.49,194.63,180.67,183.26,996200,182.75
2014-01-21,196.01,198.47,190.62,190.80,763400,190.27
2014-01-13,191.86,195.72,190.45,194.12,578200,193.58
2014-01-06,183.27,192.98,182.28,192.84,936800,192.31
2013-12-30,182.49,184.02,180.69,182.80,395600,182.29
2013-12-23,180.90,183.69,177.32,182.50,383800,181.99
2013-12-16,178.67,183.04,170.63,182.15,882500,181.65
2013-12-09,184.83,187.50,177.53,177.97,745500,177.48
2013-12-02,183.41,186.27,177.80,184.83,600000,184.32
2013-11-25,187.49,187.53,182.83,183.03,318700,182.52
2013-11-18,187.00,187.98,184.17,187.57,406900,187.05
2013-11-11,184.70,187.54,181.60,186.87,657300,186.35
2013-11-04,185.00,186.84,180.44,185.51,571500,184.49
2013-10-28,194.58,194.99,184.39,184.67,943100,183.66
2013-10-21,183.81,195.32,181.74,195.07,1006800,194.00
2013-10-14,179.25,185.97,177.90,184.56,626900,183.55
2013-10-07,185.00,185.30,174.49,180.17,632000,179.18
2013-09-30,179.10,186.82,177.76,186.48,702500,185.46
2013-09-23,182.88,183.15,178.65,180.43,568400,179.44
2013-09-16,178.06,184.47,175.47,180.11,1094100,179.12
2013-09-09,173.85,177.48,173.05,174.92,347100,173.96
2013-09-03,172.92,176.16,170.32,172.69,604600,171.74
2013-08-26,172.36,174.56,166.32,172.40,688000,171.46
2013-08-19,168.64,173.45,166.66,172.52,745100,171.58
2013-08-12,176.29,178.05,166.51,168.69,883000,167.77
2013-08-05,178.02,178.63,172.83,177.07,831700,175.60
2013-07-29,170.56,179.28,170.56,179.05,715600,177.56
2013-07-22,172.02,174.40,169.15,172.83,1059100,171.40
2013-07-15,187.36,190.68,163.63,172.86,1923200,171.43
2013-07-08,182.60,189.91,181.31,187.36,634400,185.80
2013-07-01,177.55,182.51,177.16,182.48,343700,180.97
2013-06-24,171.74,180.11,170.60,176.60,671600,175.13
2013-06-17,184.43,184.61,170.06,173.10,728300,171.66
2013-06-10,183.86,184.79,177.50,183.09,456000,181.57
2013-06-03,188.50,189.07,178.01,183.26,653100,181.74
2013-05-28,191.04,193.22,188.53,188.53,628300,186.96
2013-05-20,190.47,191.44,184.17,189.20,553200,187.63
2013-05-13,187.77,194.55,186.84,190.82,715300,189.24
2013-05-06,187.96,190.14,186.03,188.00,573100,185.96
2013-04-29,183.37,188.29,180.84,187.98,557900,185.94
2013-04-22,177.93,184.78,176.75,183.22,770200,181.23
2013-04-15,172.61,179.81,168.37,179.04,1578600,177.10
2013-04-10,166.46,171.80,165.72,170.74,622900,168.89
