Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,97.33,97.68,96.80,97.21,462700,97.21
2014-03-03,99.09,100.61,96.85,97.54,906400,97.54
2014-02-24,98.27,100.89,98.12,100.01,1131200,100.01
2014-02-18,92.76,98.61,92.61,97.94,1798600,97.94
2014-02-10,93.21,95.24,87.10,91.81,1856600,91.81
2014-02-03,96.39,96.50,91.94,93.37,889100,92.79
2014-01-27,98.05,99.68,96.30,96.39,901900,95.80
2014-01-21,97.80,98.86,96.37,97.97,874600,97.37
2014-01-13,98.33,99.88,97.07,97.20,845300,96.60
2014-01-06,101.97,102.47,97.67,98.42,1018900,97.81
2013-12-30,103.00,104.31,101.37,101.51,566100,100.88
2013-12-23,102.50,103.97,101.39,103.18,413300,102.54
2013-12-16,100.54,103.00,100.31,102.12,672400,101.49
2013-12-09,104.95,106.20,100.18,100.41,802400,99.79
2013-12-02,104.50,105.18,102.16,104.32,986200,103.68
2013-11-25,104.19,106.06,103.45,104.24,518500,103.60
2013-11-18,109.73,109.73,99.47,103.95,1123700,103.31
2013-11-11,108.68,109.73,105.46,109.35,392700,108.68
2013-11-04,111.39,112.05,106.38,108.61,449200,107.36
2013-10-28,110.21,112.95,110.21,111.01,372100,109.73
2013-10-21,107.72,110.43,106.67,110.36,412800,109.09
2013-10-14,106.40,108.87,105.73,107.88,459100,106.64
2013-10-07,105.70,106.69,104.18,106.60,476400,105.37
2013-09-30,104.65,106.39,103.80,105.93,549400,104.71
2013-09-23,107.20,107.24,104.37,104.79,392700,103.58
2013-09-16,108.66,108.98,106.66,107.14,552000,105.90
2013-09-09,106.39,109.64,105.98,107.87,597300,106.63
2013-09-03,106.47,107.53,104.88,105.99,439000,104.77
2013-08-26,108.84,109.12,104.50,106.14,450200,104.92
2013-08-19,110.18,110.54,106.65,108.46,691700,107.21
2013-08-12,113.25,114.39,110.08,110.32,365000,109.05
2013-08-05,113.97,114.72,112.82,113.30,407500,111.42
2013-07-29,111.59,114.11,111.36,113.97,443600,112.08
2013-07-22,108.20,111.60,107.51,111.54,584800,109.69
2013-07-15,105.85,108.28,105.66,108.16,389200,106.37
2013-07-08,103.58,106.19,103.27,106.01,525100,104.25
2013-07-01,103.42,104.31,101.44,103.12,617600,101.41
2013-06-24,100.01,104.06,99.76,103.15,701800,101.44
2013-06-17,103.12,104.18,99.85,100.71,597500,99.04
2013-06-10,101.49,103.29,99.37,103.01,742100,101.30
2013-06-03,101.23,103.88,96.75,101.39,1070300,99.71
2013-05-28,104.01,105.17,100.95,100.96,531100,99.29
2013-05-20,102.71,104.00,101.20,103.22,467900,101.51
2013-05-13,103.37,105.00,101.97,102.58,490500,100.88
2013-05-06,103.27,103.99,102.07,103.63,341800,101.41
2013-04-29,102.28,103.84,101.43,103.56,429700,101.34
2013-04-22,103.24,105.18,101.65,101.92,419500,99.73
2013-04-15,101.04,103.91,99.51,103.10,520200,100.89
2013-04-10,98.28,101.11,98.01,101.10,524800,98.93
