Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,24.85,24.96,24.65,24.88,2393100,24.88
2014-03-03,23.77,25.10,23.58,24.82,3629600,24.82
2014-02-24,23.81,24.27,23.09,23.94,3596600,23.79
2014-02-18,23.63,24.22,23.28,23.84,5116700,23.69
2014-02-10,22.78,23.96,21.08,23.60,3789900,23.45
2014-02-03,22.72,22.92,21.72,22.75,5379400,22.61
2014-01-27,23.11,23.41,22.64,22.76,5899600,22.62
2014-01-21,24.53,24.68,22.77,23.01,10032300,22.87
2014-01-13,26.75,27.34,24.42,24.47,6761700,24.32
2014-01-06,26.31,26.67,25.84,26.63,2842800,26.47
2013-12-30,26.00,26.40,25.88,26.26,2083200,26.10
2013-12-23,26.22,26.22,25.74,26.01,1516900,25.85
2013-12-16,25.84,26.08,25.38,25.95,3205400,25.79
2013-12-09,26.53,26.80,25.18,25.76,4978300,25.60
2013-12-02,26.54,26.75,26.13,26.44,2573100,26.28
2013-11-25,26.27,26.81,25.42,26.65,1633000,26.34
2013-11-18,26.27,26.40,25.65,26.25,2858200,25.94
2013-11-11,25.04,26.39,25.00,26.27,3092000,25.96
2013-11-04,25.32,25.55,24.61,25.10,2217900,24.80
2013-10-28,25.81,26.00,25.03,25.25,2249400,24.95
2013-10-21,25.84,26.28,25.59,25.73,2559800,25.43
2013-10-14,24.89,25.94,24.88,25.79,2953100,25.49
2013-10-07,24.90,25.15,23.93,25.09,2604300,24.79
2013-09-30,24.94,25.15,24.45,25.06,2839100,24.76
2013-09-23,24.92,25.40,24.61,25.14,2136000,24.84
2013-09-16,24.98,25.49,24.73,25.07,3096800,24.77
2013-09-09,24.24,24.97,24.16,24.77,2301400,24.48
2013-09-03,24.36,24.52,23.89,24.15,2750700,23.87
2013-08-26,25.10,25.11,23.84,23.99,2445700,23.56
2013-08-19,24.69,25.10,24.29,25.00,1959600,24.55
2013-08-12,24.71,25.17,24.20,24.82,2905700,24.38
2013-08-05,24.99,25.20,24.22,24.73,2934500,24.29
2013-07-29,24.18,25.08,23.83,24.99,4466400,24.54
2013-07-22,24.52,25.06,24.12,24.16,2899500,23.73
2013-07-15,23.50,25.14,23.34,24.54,4324100,24.10
2013-07-08,23.10,23.50,23.02,23.40,2530600,22.98
2013-07-01,22.98,23.24,22.69,22.99,2359700,22.58
2013-06-24,21.99,23.16,21.90,22.86,3231400,22.45
2013-06-17,23.18,23.91,22.15,22.36,4214900,21.96
2013-06-10,23.60,23.73,22.84,22.98,5728500,22.57
2013-06-03,23.84,24.12,23.35,23.56,4479200,23.14
2013-05-28,23.00,26.17,22.90,23.74,7163800,23.17
2013-05-20,22.76,23.14,22.45,22.79,3057900,22.24
2013-05-13,21.09,22.78,20.92,22.74,3279800,22.19
2013-05-06,20.99,21.43,20.90,21.16,1816900,20.65
2013-04-29,20.55,21.25,20.18,20.96,2055600,20.46
2013-04-22,20.33,21.00,19.79,20.52,2708400,20.03
2013-04-15,20.88,21.02,19.55,20.32,4051400,19.83
2013-04-10,20.21,21.02,20.17,20.92,2783100,20.42
