Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,161.55,162.16,160.07,160.90,1231400,160.90
2014-03-03,160.57,164.93,160.10,161.71,1346100,161.71
2014-02-24,159.75,162.18,159.07,161.29,1498200,161.29
2014-02-18,160.27,161.70,158.53,159.56,1238800,159.56
2014-02-10,157.44,160.53,156.70,160.19,1218000,160.19
2014-02-03,154.10,157.11,150.41,156.97,1643300,155.74
2014-01-27,153.31,155.99,149.60,154.84,1854500,153.62
2014-01-21,157.17,158.98,153.19,153.19,1621800,151.99
2014-01-13,154.65,157.90,154.50,156.71,1312200,155.48
2014-01-06,154.03,156.14,152.81,155.70,1534300,154.48
2013-12-30,153.52,154.90,151.02,153.95,1240100,152.74
2013-12-23,155.48,155.86,152.43,153.22,904300,152.02
2013-12-16,151.55,155.74,150.33,154.71,1988700,153.50
2013-12-09,153.00,155.01,148.36,151.63,1612900,150.44
2013-12-02,151.14,152.78,147.55,152.75,1326000,151.55
2013-11-25,150.16,152.49,148.38,149.85,1230200,148.67
2013-11-18,153.54,154.16,149.17,149.58,1008800,148.41
2013-11-11,153.22,153.74,147.51,153.53,1366000,152.32
2013-11-04,156.88,157.16,151.14,153.01,1217700,150.59
2013-10-28,159.90,159.90,154.23,156.60,1304300,154.13
2013-10-21,157.86,161.99,155.94,159.70,1358000,157.18
2013-10-14,152.97,160.00,152.50,158.01,1257000,155.51
2013-10-07,147.71,154.07,147.60,153.99,1126400,151.56
2013-09-30,148.86,152.18,147.50,149.17,1291500,146.81
2013-09-23,150.77,152.10,148.97,150.10,1125300,147.73
2013-09-16,151.54,157.39,148.39,151.00,2050500,148.61
2013-09-09,145.54,150.19,145.35,148.52,1260200,146.17
2013-09-03,146.24,146.70,142.47,144.94,1425900,142.65
2013-08-26,147.71,148.32,144.00,145.63,1273500,143.33
2013-08-19,144.69,149.44,143.20,147.50,1386400,145.17
2013-08-12,157.59,157.66,144.77,145.30,1218600,143.00
2013-08-05,157.56,159.02,155.08,157.95,829900,154.30
2013-07-29,165.44,165.79,157.33,157.61,1274000,153.97
2013-07-22,165.05,167.00,162.10,164.54,1143300,160.74
2013-07-15,162.60,165.29,162.05,164.96,1071400,161.15
2013-07-08,159.86,165.05,159.03,163.00,1143200,159.24
2013-07-01,159.20,162.68,156.37,159.47,1525300,155.79
2013-06-24,154.84,164.63,152.02,157.92,2054100,154.27
2013-06-17,167.22,168.96,153.68,156.58,2196100,152.96
2013-06-10,167.30,168.29,158.86,166.05,1449900,162.22
2013-06-03,166.33,167.83,162.70,167.26,1372400,163.40
2013-05-28,176.40,177.74,166.39,166.44,1825900,162.60
2013-05-20,179.56,182.45,171.51,174.47,1197000,170.44
2013-05-13,179.37,180.67,177.13,179.85,1250500,175.70
2013-05-06,179.29,180.85,177.78,179.37,1102100,174.10
2013-04-29,176.29,180.12,175.45,179.44,1144800,174.17
2013-04-22,176.41,177.24,174.49,175.62,964500,170.46
2013-04-15,172.35,176.11,170.15,176.11,1459100,170.94
2013-04-10,168.77,174.43,168.68,173.66,1665200,168.56
