Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,117.55,117.75,116.46,116.70,321500,116.70
2014-03-03,113.31,117.93,113.00,117.70,435400,117.70
2014-02-24,114.87,116.12,112.44,114.00,464000,114.00
2014-02-18,116.87,117.00,114.64,114.65,345100,114.65
2014-02-10,115.92,117.13,115.04,116.87,535300,116.87
2014-02-03,116.97,117.74,111.75,116.33,630800,116.33
2014-01-27,116.59,118.37,111.03,117.06,731900,117.06
2014-01-21,120.29,120.74,115.88,116.36,462800,116.36
2014-01-13,115.89,120.72,114.83,120.09,515800,120.09
2014-01-06,115.12,116.89,114.28,115.42,363000,115.42
2013-12-30,115.50,117.57,113.98,115.05,347000,115.05
2013-12-23,114.30,116.16,113.84,115.57,275200,115.57
2013-12-16,114.88,116.49,113.00,113.69,505800,113.69
2013-12-09,117.54,117.77,113.90,114.58,524800,114.58
2013-12-02,117.75,118.72,114.63,117.35,327200,117.35
2013-11-25,120.49,120.99,117.36,117.48,227000,117.48
2013-11-18,118.94,119.89,117.51,119.82,178500,119.82
2013-11-11,116.07,119.15,115.10,119.12,268900,119.12
2013-11-04,116.44,117.39,115.20,116.57,229100,116.57
2013-10-28,117.31,117.33,115.37,116.68,279700,116.68
2013-10-21,118.66,121.61,112.89,116.85,471100,116.85
2013-10-14,116.38,119.91,115.88,118.69,236100,118.69
2013-10-07,114.72,117.04,113.35,116.88,220900,116.88
2013-09-30,115.13,117.36,113.40,115.83,292500,115.83
2013-09-23,115.92,116.63,113.78,115.67,407000,115.67
2013-09-16,116.06,117.58,114.92,116.40,318000,116.40
2013-09-09,112.88,115.73,112.71,114.59,198500,114.59
2013-09-03,113.26,113.85,111.21,112.48,237600,112.48
2013-08-26,115.71,116.44,111.32,112.56,252000,112.56
2013-08-19,114.27,116.10,114.00,115.92,197800,115.92
2013-08-12,116.83,117.90,114.22,114.54,239100,114.54
2013-08-05,116.99,117.98,115.93,117.00,200800,117.00
2013-07-29,116.65,117.24,115.43,117.19,374400,117.19
2013-07-22,119.40,119.59,115.98,116.77,322300,116.77
2013-07-15,117.27,118.12,115.04,117.93,297700,117.93
2013-07-08,113.13,117.32,112.82,117.31,342600,117.31
2013-07-01,110.72,112.50,109.94,112.43,210000,112.43
2013-06-24,106.75,111.58,106.50,110.43,349900,110.43
2013-06-17,107.22,111.09,106.36,107.51,573500,107.51
2013-06-10,109.20,109.61,105.50,106.41,351000,106.41
2013-06-03,110.21,110.39,106.11,108.45,403800,108.45
2013-05-28,112.25,112.89,107.29,109.76,643800,109.76
2013-05-20,112.57,112.74,110.27,111.49,334000,111.49
2013-05-13,110.30,113.11,109.59,113.01,282600,113.01
2013-05-06,108.78,111.50,108.00,110.65,287300,110.65
2013-04-29,108.57,109.45,107.15,109.03,427400,109.03
2013-04-22,107.95,110.30,107.01,108.58,441700,108.58
2013-04-15,108.96,109.63,105.97,107.67,466200,107.67
2013-04-10,105.32,109.51,105.12,109.20,431100,109.20
