Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,39.59,39.59,38.95,39.54,2607300,39.54
2014-03-03,37.28,39.82,37.03,39.74,2871000,39.74
2014-02-24,37.24,38.04,36.98,37.68,2716600,37.68
2014-02-18,37.88,37.89,36.64,37.22,2412200,37.12
2014-02-10,37.96,38.70,36.71,37.84,3946200,37.74
2014-02-03,37.09,38.34,36.23,38.05,4504600,37.95
2014-01-27,38.03,38.30,36.95,37.02,3327900,36.92
2014-01-21,39.54,40.21,38.03,38.05,4435300,37.95
2014-01-13,38.27,40.00,37.62,39.34,4993800,39.23
2014-01-06,36.83,38.41,36.80,38.39,4583700,38.29
2013-12-30,36.64,36.88,36.40,36.55,1935200,36.45
2013-12-23,36.50,36.94,36.43,36.61,1403300,36.51
2013-12-16,35.21,36.61,34.90,36.39,3396500,36.29
2013-12-09,35.60,35.71,34.83,34.99,3529400,34.90
2013-12-02,36.31,36.51,34.89,35.45,4331400,35.35
2013-11-25,36.56,36.99,36.18,36.23,2453600,36.13
2013-11-18,36.03,36.42,35.52,36.41,3575700,36.21
2013-11-11,35.64,36.16,34.97,36.03,3232700,35.84
2013-11-04,33.84,35.81,33.57,35.72,3942700,35.53
2013-10-28,33.70,34.29,33.48,33.75,3026500,33.57
2013-10-21,34.53,34.84,33.09,33.71,5779700,33.53
2013-10-14,33.22,34.92,33.09,34.67,3202800,34.48
2013-10-07,32.61,33.52,31.97,33.51,3570000,33.33
2013-09-30,32.25,33.03,32.07,32.99,3229900,32.81
2013-09-23,32.84,32.97,32.11,32.60,3618400,32.42
2013-09-16,33.71,34.44,32.85,32.94,4475800,32.76
2013-09-09,32.91,33.54,32.73,33.31,2926800,33.13
2013-09-03,32.55,33.23,31.59,32.91,4498700,32.73
2013-08-26,34.21,34.36,31.92,32.02,3064900,31.85
2013-08-19,34.52,34.63,33.73,34.24,2489600,33.95
2013-08-12,34.72,35.24,34.27,34.60,2364200,34.31
2013-08-05,35.42,35.72,34.63,34.97,3044000,34.67
2013-07-29,34.89,35.81,34.39,35.44,3068000,35.14
2013-07-22,34.74,35.44,34.45,34.89,3230400,34.59
2013-07-15,34.04,36.29,33.06,34.83,3654900,34.53
2013-07-08,34.50,34.64,33.27,33.97,4460500,33.68
2013-07-01,31.79,34.36,31.63,34.31,4842100,34.02
2013-06-24,30.88,31.86,30.17,31.57,4529400,31.30
2013-06-17,31.28,31.89,30.75,31.23,4624200,30.97
2013-06-10,32.38,32.58,30.87,31.09,3985900,30.83
2013-06-03,32.14,32.67,31.35,32.25,4498600,31.98
2013-05-28,32.40,32.84,31.91,32.09,5176900,31.82
2013-05-20,31.78,32.70,31.25,31.94,5306400,31.57
2013-05-13,30.41,31.91,30.33,31.88,3572200,31.51
2013-05-06,29.39,31.04,29.33,30.46,4355000,30.11
2013-04-29,29.50,29.69,28.85,29.37,3312800,29.03
2013-04-22,28.29,29.52,27.77,29.05,4550100,28.71
2013-04-15,28.63,28.78,27.18,28.31,6087700,27.98
2013-04-10,28.94,29.24,28.48,28.79,4512900,28.46
