Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,66.90,67.03,66.21,66.50,2691100,66.50
2014-03-03,66.67,68.79,66.63,67.07,1833400,67.07
2014-02-24,67.23,68.25,66.70,67.32,1637700,67.32
2014-02-18,66.61,68.03,66.10,67.25,1906300,67.25
2014-02-10,64.30,66.60,62.92,66.47,2869000,66.47
2014-02-03,60.57,62.65,59.16,62.00,2655400,62.00
2014-01-27,62.77,62.77,60.27,60.73,2873100,60.73
2014-01-21,66.16,66.65,62.10,62.11,3511600,62.11
2014-01-13,66.50,68.39,65.85,65.90,3202600,65.90
2014-01-06,62.78,66.30,62.18,66.00,4187700,66.00
2013-12-30,62.23,62.44,61.10,61.19,2064000,61.19
2013-12-23,61.95,63.15,61.73,62.25,1438900,62.25
2013-12-16,58.92,61.93,58.48,61.89,2809200,61.64
2013-12-09,59.72,59.96,57.30,57.99,2405300,57.76
2013-12-02,58.52,59.88,57.75,59.75,2138700,59.51
2013-11-25,58.22,59.29,57.96,58.42,1292600,58.19
2013-11-18,57.63,58.21,56.39,58.06,1304700,57.83
2013-11-11,57.14,57.84,56.31,57.37,1298100,57.14
2013-11-04,58.14,58.99,56.02,56.99,2117500,56.76
2013-10-28,57.15,58.51,56.87,58.14,1948400,57.91
2013-10-21,56.86,57.36,55.73,57.27,1776000,57.04
2013-10-14,55.63,56.86,53.51,56.84,2809000,56.61
2013-10-07,55.75,56.57,53.97,55.16,3024300,54.94
2013-09-30,52.16,57.17,51.79,56.23,2911200,56.01
2013-09-23,53.64,53.84,52.09,52.39,1129700,52.18
2013-09-16,53.36,54.36,52.95,53.67,1318000,53.20
2013-09-09,52.57,53.77,51.85,52.82,1718200,52.36
2013-09-03,50.75,53.11,49.94,52.52,1774100,52.06
2013-08-26,52.05,52.59,50.12,50.41,918900,49.97
2013-08-19,51.27,52.25,51.05,51.92,1406800,51.47
2013-08-12,53.50,53.78,51.16,51.47,1339900,51.02
2013-08-05,52.75,54.06,52.47,53.85,1207400,53.38
2013-07-29,52.41,53.39,51.65,52.96,1338700,52.50
2013-07-22,51.62,52.68,51.46,52.40,1444500,51.94
2013-07-15,48.33,52.72,48.21,51.69,3215100,51.24
2013-07-08,46.66,48.44,46.35,48.41,1521400,47.99
2013-07-01,45.75,46.40,45.38,46.38,1794700,45.98
2013-06-24,44.28,46.08,43.95,45.63,2936600,45.23
2013-06-17,45.35,46.18,43.97,44.67,2139900,44.04
2013-06-10,43.99,45.81,43.50,45.06,1740800,44.42
2013-06-03,43.40,44.01,42.03,43.99,2087100,43.37
2013-05-28,44.64,45.17,43.22,43.23,2341800,42.62
2013-05-20,46.84,47.45,44.60,45.15,2309500,44.51
2013-05-13,44.00,47.16,43.85,47.00,3163100,46.33
2013-05-06,40.87,44.18,40.87,44.18,2379200,43.55
2013-04-29,41.20,41.73,40.55,40.81,1697300,40.23
2013-04-22,40.96,41.71,40.44,40.99,1686300,40.41
2013-04-15,42.36,42.83,40.31,40.90,2578700,40.32
2013-04-10,41.30,42.80,41.28,42.48,2106900,41.88
