Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,68.05,68.45,67.97,68.20,1426700,68.20
2014-03-03,65.09,68.78,64.43,68.14,2736800,68.14
2014-02-24,67.19,69.73,65.37,65.67,3737200,65.67
2014-02-18,67.92,69.03,67.03,68.52,2702100,68.52
2014-02-10,68.12,69.31,67.74,68.81,2232900,68.81
2014-02-03,66.94,68.30,64.30,68.23,3701700,68.23
2014-01-27,69.36,69.81,66.74,66.95,3767900,66.95
2014-01-21,73.78,75.34,66.66,69.52,2919700,69.52
2014-01-13,74.80,74.89,72.79,73.50,1855300,73.50
2014-01-06,74.99,76.24,74.34,74.88,1648400,74.88
2013-12-30,72.67,74.99,72.41,74.70,1463900,74.70
2013-12-23,72.02,73.09,71.83,72.96,933500,72.96
2013-12-16,70.16,71.93,69.09,71.55,2191400,71.55
2013-12-09,71.66,72.27,69.64,69.73,1846200,69.73
2013-12-02,72.81,73.63,69.95,71.23,2224500,71.23
2013-11-25,72.70,73.27,71.89,72.61,1766700,72.61
2013-11-18,70.47,72.90,70.40,72.70,2126200,72.70
2013-11-11,71.85,72.53,67.54,70.64,2387700,70.64
2013-11-04,70.63,72.25,69.81,71.86,2098800,71.86
2013-10-28,68.73,70.77,68.51,70.35,2436900,70.35
2013-10-21,69.82,69.95,65.91,68.74,3492900,68.74
2013-10-14,66.74,69.91,66.46,69.77,2706600,69.77
2013-10-07,65.67,67.46,64.25,67.22,2507500,67.22
2013-09-30,65.42,66.72,65.27,66.42,2708600,66.42
2013-09-23,67.14,67.53,65.75,66.21,2096200,66.21
2013-09-16,68.74,69.88,67.42,67.64,2820300,67.38
2013-09-09,67.82,69.02,67.34,68.05,1972000,67.79
2013-09-03,67.51,69.10,66.72,67.63,2052200,67.37
2013-08-26,69.62,70.34,66.46,66.72,1818800,66.46
2013-08-19,67.56,70.00,67.25,69.67,2069100,69.40
2013-08-12,68.89,69.77,67.55,67.85,1774900,67.59
2013-08-05,70.28,70.80,69.21,69.32,1685700,69.05
2013-07-29,68.80,70.89,68.40,70.57,1961000,70.30
2013-07-22,69.24,71.27,68.64,68.95,2752200,68.68
2013-07-15,69.24,70.23,68.26,69.28,2774000,69.01
2013-07-08,68.22,69.82,67.66,68.95,2514600,68.68
2013-07-01,65.51,67.78,64.92,67.76,2224500,67.50
2013-06-24,64.27,65.72,63.23,65.21,2954000,64.96
2013-06-17,66.50,67.86,64.07,64.95,3836400,64.44
2013-06-10,67.64,67.88,64.66,66.06,3394600,65.54
2013-06-03,66.50,67.53,64.23,67.44,3382100,66.91
2013-05-28,65.57,68.18,65.57,66.18,4702200,65.66
2013-05-20,65.03,66.48,63.68,64.49,3257200,63.98
2013-05-13,60.34,65.35,60.25,65.16,3521300,64.65
2013-05-06,59.22,60.58,59.11,60.33,2050800,59.86
2013-04-29,58.07,59.71,57.37,59.45,2326100,58.98
2013-04-22,56.98,58.66,56.29,57.86,2216000,57.40
2013-04-15,59.52,59.59,54.57,56.93,3646600,56.48
2013-04-10,58.76,60.78,58.62,59.75,3179300,59.28
