Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,49.47,50.73,49.35,50.14,3592900,50.14
2014-03-03,51.75,53.44,48.60,49.29,3941300,49.29
2014-02-24,50.93,52.67,50.36,52.19,2710100,52.19
2014-02-18,50.51,51.80,49.01,50.75,3004400,50.75
2014-02-10,49.52,50.42,48.71,50.14,3127900,50.14
2014-02-03,53.01,53.41,48.21,49.52,4522400,49.52
2014-01-27,58.57,58.87,50.50,52.86,7093500,52.40
2014-01-21,62.10,62.76,58.46,58.57,3413800,58.06
2014-01-13,58.65,61.39,58.39,61.20,2990300,60.66
2014-01-06,56.74,60.80,56.55,58.39,3679100,57.88
2013-12-30,55.04,57.14,55.04,56.82,2560700,56.32
2013-12-23,55.98,56.64,55.12,55.66,2222000,55.17
2013-12-16,50.22,56.04,50.22,55.66,5197400,55.17
2013-12-09,51.51,51.73,49.25,50.00,2373400,49.56
2013-12-02,49.03,51.45,48.66,51.42,3032400,50.97
2013-11-25,48.29,49.46,48.05,49.04,2257700,48.61
2013-11-18,49.33,49.40,47.25,48.34,2927900,47.92
2013-11-11,48.21,50.22,47.51,48.94,3217300,48.51
2013-11-04,49.45,49.77,46.99,48.18,3608800,47.76
2013-10-28,49.90,50.66,47.59,49.20,5118100,48.34
2013-10-21,49.80,50.55,47.60,49.80,5067900,48.93
2013-10-14,46.00,50.04,45.96,50.04,3768800,49.16
2013-10-07,45.33,46.61,44.16,46.27,3176500,45.46
2013-09-30,43.40,46.03,42.73,45.87,4041900,45.06
2013-09-23,41.26,43.99,40.53,43.51,3903800,42.75
2013-09-16,40.89,42.08,40.49,41.40,3638600,40.67
2013-09-09,39.45,41.87,39.10,40.25,3320200,39.54
2013-09-03,38.77,39.80,38.38,39.46,3299500,38.77
2013-08-26,40.13,40.58,37.17,38.32,3668600,37.65
2013-08-19,39.20,40.71,38.66,40.13,2314500,39.43
2013-08-12,40.74,41.55,39.11,39.20,2802500,38.51
2013-08-05,40.61,41.29,39.53,40.86,3087900,40.14
2013-07-29,40.95,41.93,40.20,41.10,3768400,40.01
2013-07-22,47.56,47.82,40.80,41.05,7813700,39.96
2013-07-15,46.63,47.76,46.34,47.52,3042300,46.25
2013-07-08,46.00,46.70,45.32,46.68,2923000,45.44
2013-07-01,45.49,45.93,44.57,45.72,2530100,44.50
2013-06-24,41.96,45.50,40.68,44.83,3590100,43.64
2013-06-17,43.96,45.05,41.91,42.25,4469100,41.12
2013-06-10,43.69,44.62,43.15,43.72,3416300,42.56
2013-06-03,43.15,45.00,42.67,44.01,4178000,42.84
2013-05-28,43.55,44.44,42.69,43.08,4337300,41.93
2013-05-20,41.11,43.60,40.71,42.85,5044400,41.71
2013-05-13,40.03,41.48,39.97,41.47,5726400,40.37
2013-05-06,41.27,42.50,40.05,40.50,6542700,39.05
2013-04-29,36.48,41.52,35.86,41.23,7831800,39.76
2013-04-22,34.50,37.85,34.35,36.40,5966800,35.10
2013-04-15,35.79,36.55,33.22,34.44,5365200,33.21
2013-04-10,37.18,37.90,35.75,36.09,5639000,34.80
