Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,83.84,84.33,83.26,83.95,1112000,83.95
2014-03-03,80.77,83.92,80.22,83.91,1449100,83.91
2014-02-24,80.54,82.84,80.52,81.03,1158000,81.03
2014-02-18,79.70,81.00,79.51,80.35,1092000,80.35
2014-02-10,77.84,80.22,76.29,79.37,1302900,79.37
2014-02-03,76.30,78.04,74.69,77.50,1334000,77.50
2014-01-27,76.01,78.39,75.33,76.67,1832400,76.67
2014-01-21,80.96,81.01,75.79,75.80,1961000,75.80
2014-01-13,80.19,81.56,79.32,79.54,1418100,79.54
2014-01-06,69.59,80.13,68.54,80.05,3517800,80.05
2013-12-30,69.99,70.58,68.84,69.39,999600,69.39
2013-12-23,69.97,70.53,69.40,70.07,571700,70.07
2013-12-16,69.72,70.94,68.17,69.70,1442400,69.70
2013-12-09,70.81,71.62,69.02,69.32,1236800,69.32
2013-12-02,70.67,71.44,69.66,70.65,1067600,70.65
2013-11-25,70.45,71.18,69.01,70.41,1122700,70.41
2013-11-18,69.23,70.40,68.70,70.36,1046900,70.36
2013-11-11,66.69,69.79,66.28,69.14,1370500,69.14
2013-11-04,65.68,66.76,65.23,66.76,1207500,66.76
2013-10-28,64.02,65.79,63.75,65.60,1602900,65.60
2013-10-21,64.47,64.95,63.47,63.91,1387800,63.91
2013-10-14,62.54,64.35,62.12,64.33,1231500,64.33
2013-10-07,61.60,63.05,59.25,62.99,2010600,62.99
2013-09-30,56.66,62.15,56.49,61.97,2790500,61.97
2013-09-23,57.26,58.08,56.73,56.98,1052300,56.98
2013-09-16,59.45,59.92,57.07,57.24,1984300,57.24
2013-09-09,57.70,58.71,57.42,58.70,1460100,58.70
2013-09-03,55.20,58.20,54.22,57.68,2663400,57.68
2013-08-26,55.90,55.90,53.98,54.25,1075100,54.25
2013-08-19,53.78,56.00,53.12,55.86,1220900,55.86
2013-08-12,53.99,54.91,53.17,53.94,1090500,53.94
2013-08-05,53.30,54.80,53.30,54.26,1315700,54.26
2013-07-29,50.61,53.72,50.50,53.42,1409500,53.42
2013-07-22,51.86,52.37,49.32,50.60,1876200,50.60
2013-07-15,52.43,52.69,51.30,52.02,1928400,52.02
2013-07-08,50.67,52.48,50.31,52.31,1362100,52.31
2013-07-01,52.49,53.75,50.16,50.59,3904000,50.59
2013-06-24,50.01,52.41,49.09,52.12,1669700,52.12
2013-06-17,52.36,52.79,50.04,50.49,1475600,50.49
2013-06-10,53.48,53.62,51.09,52.02,1417900,52.02
2013-06-03,53.21,53.65,50.74,53.34,2820800,53.34
2013-05-28,53.48,54.64,52.65,53.01,2754000,53.01
2013-05-20,51.90,53.02,50.83,53.00,1793800,53.00
2013-05-13,49.37,53.00,49.10,52.21,1904300,52.21
2013-05-06,50.09,50.52,48.68,49.35,1695600,49.35
2013-04-29,47.66,50.34,47.39,50.21,2531500,50.21
2013-04-22,48.34,48.90,47.64,47.79,2231600,47.79
2013-04-15,48.82,49.05,46.83,48.52,3369300,48.52
2013-04-10,48.50,49.54,48.03,49.19,3315000,49.19
