Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,82.19,82.40,81.34,81.90,740100,81.90
2014-03-03,81.62,82.82,81.30,82.51,1037200,82.51
2014-02-24,81.95,83.76,81.61,83.04,1108000,82.54
2014-02-18,81.35,81.96,80.52,81.74,1139800,81.25
2014-02-10,78.86,81.53,78.78,81.32,1244700,80.83
2014-02-03,78.00,78.91,75.00,78.80,1587500,78.33
2014-01-27,78.06,78.82,76.18,77.40,1871200,76.93
2014-01-21,81.42,82.76,77.50,77.81,2359500,77.34
2014-01-13,81.05,83.22,80.02,81.17,1744900,80.68
2014-01-06,80.75,81.67,79.01,81.42,1509300,80.93
2013-12-30,81.00,81.49,79.68,80.38,954000,79.90
2013-12-23,81.29,81.53,80.40,81.01,1167000,80.52
2013-12-16,80.55,81.32,79.05,80.56,1829300,80.07
2013-12-09,80.58,81.30,78.97,80.48,1549100,80.00
2013-12-02,81.38,81.55,78.87,80.71,1299800,80.22
2013-11-25,82.33,82.49,80.30,81.39,1296100,80.39
2013-11-18,83.00,84.00,80.33,82.05,1218800,81.05
2013-11-11,80.81,82.81,80.73,82.64,1405200,81.63
2013-11-04,79.27,82.66,78.38,80.88,1700000,79.89
2013-10-28,78.60,80.30,77.49,79.05,1310400,78.08
2013-10-21,77.16,78.49,75.79,78.46,2040900,77.50
2013-10-14,90.54,91.60,74.13,77.16,5365800,76.21
2013-10-07,90.45,91.50,87.95,91.30,899200,90.18
2013-09-30,89.69,92.76,89.69,91.14,1157200,90.02
2013-09-23,90.01,90.85,88.35,90.59,799300,89.48
2013-09-16,90.35,92.36,89.07,90.13,804600,89.03
2013-09-09,87.64,89.86,87.61,89.26,708000,88.17
2013-09-03,86.46,88.36,85.51,87.27,674800,86.20
2013-08-26,87.42,87.64,84.33,85.26,1138600,83.73
2013-08-19,86.81,87.97,85.78,87.60,1441800,86.03
2013-08-12,85.36,89.50,85.24,86.80,1222100,85.24
2013-08-05,87.25,87.85,84.79,85.60,763300,84.06
2013-07-29,83.78,87.68,82.98,87.62,876000,86.04
2013-07-22,83.20,84.74,81.26,84.02,1282900,82.51
2013-07-15,82.40,83.13,80.83,83.12,786500,81.63
2013-07-08,79.66,82.35,79.14,82.30,840600,80.82
2013-07-01,77.91,79.15,77.01,79.07,601200,77.65
2013-06-24,75.27,78.40,73.77,77.30,1050000,75.91
2013-06-17,80.06,81.38,75.55,76.00,1116300,74.63
2013-06-10,79.84,80.38,78.03,79.42,773300,77.99
2013-06-03,79.15,79.87,77.01,79.69,1001300,78.26
2013-05-28,79.44,81.30,78.92,79.22,1380300,77.31
2013-05-20,80.87,83.26,78.42,78.74,1197600,76.85
2013-05-13,79.66,81.82,79.16,80.94,958500,78.99
2013-05-06,76.65,80.18,76.17,79.73,1283500,77.81
2013-04-29,74.54,77.61,73.88,76.65,1098900,74.81
2013-04-22,76.50,78.65,74.04,74.40,2178100,72.61
2013-04-15,78.71,78.78,75.61,76.40,1352000,74.56
2013-04-10,78.00,80.14,77.96,79.24,1130200,77.33
