Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,41.89,42.64,41.58,42.58,4019900,42.58
2014-03-03,41.22,42.28,40.31,41.94,4423300,41.94
2014-02-24,43.14,44.40,40.30,41.34,5930300,41.34
2014-02-18,41.95,43.45,41.65,42.81,5864500,42.81
2014-02-10,41.40,42.05,40.63,41.64,3341200,41.64
2014-02-03,40.71,43.51,40.42,41.47,6163000,41.47
2014-01-27,41.75,42.30,40.40,40.69,4124800,40.69
2014-01-21,39.60,42.85,39.60,41.66,5152900,41.66
2014-01-13,38.51,39.96,37.85,39.33,3246000,39.33
2014-01-06,38.97,39.68,37.25,38.51,2873000,38.51
2013-12-30,39.49,39.81,38.60,38.75,1999700,38.75
2013-12-23,39.69,40.46,39.45,39.73,1496900,39.73
2013-12-16,38.62,39.89,37.63,39.32,4556500,39.32
2013-12-09,38.84,39.65,38.04,38.58,3380900,38.58
2013-12-02,39.44,39.87,38.00,38.68,3659600,38.68
2013-11-25,39.12,39.62,38.41,38.66,2695300,38.66
2013-11-18,35.70,39.18,35.70,39.14,4323200,39.14
2013-11-11,36.23,36.50,35.44,36.47,2823300,36.47
2013-11-04,38.41,38.47,35.58,36.15,4254000,36.15
2013-10-28,37.01,39.10,36.64,38.20,4618100,38.20
2013-10-21,36.45,37.36,35.80,37.13,3330900,37.13
2013-10-14,35.71,37.23,35.71,36.47,3158200,36.47
2013-10-07,35.59,36.20,34.88,35.90,4855600,35.90
2013-09-30,36.06,37.08,35.50,35.89,2852600,35.89
2013-09-23,36.83,37.33,36.30,36.44,3448200,36.44
2013-09-16,38.21,38.28,36.86,37.06,4807800,37.06
2013-09-09,37.80,38.82,37.55,37.93,3473200,37.93
2013-09-03,38.65,38.85,37.46,37.63,2591500,37.63
2013-08-26,38.22,38.75,37.67,38.20,2822200,38.20
2013-08-19,36.78,38.20,36.40,38.16,2440800,38.16
2013-08-12,37.30,38.00,36.63,36.95,2194200,36.95
2013-08-05,38.59,38.67,36.97,37.48,3600400,37.48
2013-07-29,39.00,40.11,37.68,38.65,3302000,38.65
2013-07-22,38.93,39.58,37.53,39.32,2797100,39.32
2013-07-15,38.81,39.29,37.83,39.15,2074900,39.15
2013-07-08,38.17,39.61,38.02,38.74,2808100,38.74
2013-07-01,36.79,37.98,36.43,37.91,2445000,37.91
2013-06-24,35.64,37.60,34.84,36.53,3921100,36.53
2013-06-17,36.89,38.28,35.53,36.12,2823700,36.12
2013-06-10,38.34,38.49,36.26,36.54,2060100,36.54
2013-06-03,37.77,38.34,36.42,38.29,2750800,38.29
2013-05-28,38.68,38.85,37.69,37.69,2574700,37.69
2013-05-20,38.86,40.34,37.82,38.08,3771200,38.08
2013-05-13,36.81,38.95,36.26,38.86,3798900,38.86
2013-05-06,37.01,37.65,36.06,36.80,3568000,36.80
2013-04-29,36.18,37.59,36.00,37.04,5680900,37.04
2013-04-22,35.38,36.70,34.68,35.48,4701600,35.48
2013-04-15,37.55,37.58,34.92,35.38,5093300,35.38
2013-04-10,38.14,39.71,37.88,37.95,5189200,37.95
