Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,38.66,39.05,38.45,38.88,10748100,38.88
2014-03-03,37.08,40.25,36.96,38.60,14897700,38.60
2014-02-24,37.05,38.06,36.55,37.45,6874900,37.45
2014-02-18,33.79,37.70,33.67,36.84,14700800,36.84
2014-02-10,31.02,33.69,30.89,33.65,3988600,33.65
2014-02-03,31.16,31.28,29.82,31.16,3614400,31.16
2014-01-27,30.95,31.81,30.36,31.24,4074100,31.24
2014-01-21,31.94,32.06,30.72,30.98,2796200,30.98
2014-01-13,31.97,32.18,31.09,31.82,2465400,31.82
2014-01-06,32.32,32.61,31.29,32.15,3570100,32.15
2013-12-30,32.50,32.98,32.03,32.31,1731100,32.31
2013-12-23,33.31,33.49,32.31,32.50,1689600,32.50
2013-12-16,33.54,33.74,32.11,33.08,3585900,33.08
2013-12-09,33.18,33.95,32.65,33.52,3521300,33.32
2013-12-02,34.90,35.10,32.42,33.07,5228900,32.87
2013-11-25,34.29,35.33,34.08,34.97,2684800,34.76
2013-11-18,34.42,34.47,32.28,34.29,4758400,34.08
2013-11-11,33.21,34.75,32.51,34.52,3993500,34.31
2013-11-04,35.18,35.53,31.50,33.02,5730200,32.82
2013-10-28,36.62,36.70,34.68,35.16,3145700,34.95
2013-10-21,33.41,36.90,32.63,36.54,6874100,36.32
2013-10-14,33.30,33.93,32.63,33.36,3656100,33.16
2013-10-07,31.50,33.91,30.48,33.75,7338500,33.54
2013-09-30,32.05,32.28,31.51,31.63,3809900,31.44
2013-09-23,31.31,32.72,31.24,32.25,6013100,32.05
2013-09-16,28.43,31.79,28.01,31.40,13404100,31.21
2013-09-09,26.02,28.88,25.85,28.20,6730800,27.83
2013-09-03,25.94,26.24,25.61,25.96,2851200,25.62
2013-08-26,26.66,26.71,25.63,25.90,2740300,25.56
2013-08-19,26.48,26.89,26.04,26.69,3362200,26.34
2013-08-12,24.88,26.71,24.80,26.66,5900900,26.31
2013-08-05,25.36,25.81,24.47,25.05,4481500,24.72
2013-07-29,25.85,26.36,25.21,25.35,3554100,25.02
2013-07-22,26.15,26.25,25.35,25.98,3270400,25.64
2013-07-15,24.55,26.56,24.44,26.15,5758900,25.81
2013-07-08,24.27,25.23,24.25,24.55,4285700,24.23
2013-07-01,23.63,24.28,23.17,24.24,2764700,23.92
2013-06-24,22.68,24.09,22.36,23.66,3553500,23.35
2013-06-17,24.47,24.60,22.35,22.82,6760800,22.52
2013-06-10,22.71,27.45,22.66,24.36,15167300,23.84
2013-06-03,23.00,23.57,22.26,22.71,4350500,22.23
2013-05-28,23.39,23.69,23.01,23.01,2985400,22.52
2013-05-20,25.17,25.19,22.70,23.18,6264900,22.69
2013-05-13,24.51,25.67,24.20,25.15,4302900,24.62
2013-05-06,23.91,24.64,23.52,24.46,3747200,23.94
2013-04-29,23.39,24.12,22.30,23.95,7691300,23.44
2013-04-22,26.52,28.42,22.90,23.31,10008400,22.81
2013-04-15,26.78,26.87,25.90,26.55,3900400,25.99
2013-04-10,25.59,27.00,25.54,26.85,5880500,26.28
