Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,20.66,20.71,20.45,20.56,6041200,20.56
2014-03-03,21.28,21.61,20.47,20.59,7125600,20.59
2014-02-24,20.58,21.84,20.50,21.48,6351700,21.48
2014-02-18,21.11,21.29,20.32,20.53,7828300,20.53
2014-02-10,20.77,21.44,20.75,21.35,6266800,21.19
2014-02-03,21.33,21.40,20.31,20.90,9866600,20.75
2014-01-27,23.31,24.27,21.41,21.41,13904400,21.25
2014-01-21,23.32,23.69,23.13,23.30,6506700,23.13
2014-01-13,22.83,23.42,22.06,23.27,9011300,23.10
2014-01-06,23.18,23.70,22.98,23.47,5402300,23.30
2013-12-30,23.05,23.62,23.00,23.11,4826800,22.94
2013-12-23,22.49,23.14,22.46,23.05,3296400,22.88
2013-12-16,22.18,23.30,22.18,22.51,8025200,22.35
2013-12-09,22.71,22.85,22.02,22.11,5125200,21.95
2013-12-02,22.47,23.64,22.18,22.78,8877600,22.61
2013-11-25,23.40,23.48,22.36,22.49,6277800,22.33
2013-11-18,23.63,23.96,23.25,23.34,6187100,23.17
2013-11-11,23.11,23.69,22.24,23.58,11849300,23.26
2013-11-04,22.81,23.24,22.57,23.16,6816300,22.84
2013-10-28,22.08,22.95,21.96,22.77,9620400,22.46
2013-10-21,25.49,25.60,20.89,22.03,16483300,21.73
2013-10-14,24.90,25.41,24.87,25.39,5696100,25.04
2013-10-07,24.56,25.16,24.41,25.08,6946500,24.74
2013-09-30,24.53,24.92,24.16,24.84,5539200,24.50
2013-09-23,25.09,25.20,24.39,24.73,5157300,24.39
2013-09-16,25.24,25.67,25.09,25.14,5284900,24.80
2013-09-09,25.50,25.70,24.36,25.07,6550000,24.73
2013-09-03,25.93,26.34,24.98,25.35,5671000,25.00
2013-08-26,26.28,26.40,25.28,25.61,4162400,25.26
2013-08-19,26.11,26.57,25.86,26.33,3625200,25.97
2013-08-12,26.68,27.05,26.17,26.24,4751900,25.73
2013-08-05,26.50,27.10,26.26,26.82,5626900,26.30
2013-07-29,24.07,26.89,23.98,26.52,9304700,26.01
2013-07-22,24.10,24.44,23.86,24.27,4641500,23.80
2013-07-15,23.85,24.42,23.74,24.00,6855200,23.54
2013-07-08,23.07,23.85,22.56,23.83,4816000,23.37
2013-07-01,22.54,23.02,22.22,23.02,5192600,22.57
2013-06-24,22.17,22.73,21.91,22.48,8933300,22.04
2013-06-17,22.37,22.99,21.99,22.23,9999400,21.80
2013-06-10,22.17,22.66,21.85,22.36,10282200,21.78
2013-06-03,22.41,22.56,21.41,22.19,10567200,21.61
2013-05-28,23.01,23.15,22.39,22.39,9943200,21.81
2013-05-20,24.22,24.39,22.30,22.85,9992600,22.26
2013-05-13,24.33,24.69,23.95,24.30,13733800,23.67
2013-05-06,24.81,25.26,23.54,24.35,10697800,23.72
2013-04-29,24.45,25.00,21.93,24.84,6762200,24.20
2013-04-22,23.70,24.62,23.41,24.42,6306900,23.79
2013-04-15,23.98,24.32,23.34,23.55,7052800,22.94
2013-04-10,24.21,24.55,23.96,24.25,5888000,23.62
