Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,36.23,36.33,36.13,36.19,2096700,36.19
2014-03-03,35.85,36.40,35.60,36.21,3069800,36.21
2014-02-24,36.14,36.37,35.80,36.02,3178400,36.02
2014-02-18,35.67,36.15,35.52,36.04,4035500,36.04
2014-02-10,35.42,35.77,35.10,35.71,2944500,35.71
2014-02-03,35.00,35.59,34.07,35.51,5154700,35.51
2014-01-27,35.62,36.05,34.75,35.08,3609200,35.08
2014-01-21,36.69,37.08,35.48,35.48,3568300,35.48
2014-01-13,36.27,36.94,36.10,36.51,5106100,36.51
2014-01-06,36.22,36.56,35.72,36.36,3947200,36.36
2013-12-30,36.72,36.99,35.81,36.05,4124400,36.05
2013-12-23,36.74,37.06,36.32,36.82,2502500,36.53
2013-12-16,36.32,36.82,35.56,36.45,4476400,36.16
2013-12-09,43.05,43.40,35.93,36.28,22422700,35.99
2013-12-02,33.57,34.31,33.30,34.31,3137100,34.04
2013-11-25,34.03,34.39,33.60,33.63,2958000,33.36
2013-11-18,33.77,34.06,33.22,33.93,2228600,33.66
2013-11-11,32.86,33.80,32.84,33.70,2006100,33.43
2013-11-04,34.05,34.74,32.80,33.13,4497700,32.87
2013-10-28,32.93,33.53,32.11,32.56,4701100,32.30
2013-10-21,32.14,32.99,31.90,32.99,2712500,32.73
2013-10-14,32.06,32.33,31.82,32.07,3958400,31.82
2013-10-07,31.62,32.42,31.13,32.22,3216700,31.97
2013-09-30,31.84,32.14,31.16,31.72,3516700,31.47
2013-09-23,32.50,32.64,31.89,32.03,6037200,31.50
2013-09-16,33.07,33.44,32.36,32.57,6388600,32.03
2013-09-09,32.11,32.95,32.03,32.88,2897000,32.33
2013-09-03,32.26,32.31,31.89,32.04,3534500,31.51
2013-08-26,32.30,32.30,31.37,32.02,3421500,31.49
2013-08-19,32.37,32.74,31.76,32.25,3021800,31.71
2013-08-12,34.48,34.48,32.20,32.45,6083300,31.91
2013-08-05,34.88,35.50,34.58,35.01,3440600,34.43
2013-07-29,34.76,35.47,34.41,34.98,2918800,34.40
2013-07-22,35.96,36.05,34.12,34.77,3871200,34.19
2013-07-15,35.55,36.04,35.35,36.03,1975800,35.43
2013-07-08,34.21,35.61,34.17,35.60,2275700,35.01
2013-07-01,34.23,34.49,33.59,33.94,2071500,33.38
2013-06-24,33.49,34.59,33.36,34.16,2252400,33.32
2013-06-17,34.60,34.84,33.35,33.68,3348600,32.85
2013-06-10,33.85,34.80,33.70,34.47,3073300,33.62
2013-06-03,33.79,34.31,33.07,33.76,4110700,32.93
2013-05-28,35.07,35.32,33.76,33.80,3496000,32.97
2013-05-20,35.11,35.38,34.36,34.82,3197600,33.96
2013-05-13,34.22,35.31,34.16,35.14,2841800,34.27
2013-05-06,34.15,34.71,33.95,34.20,3452000,33.36
2013-04-29,34.92,35.20,34.55,34.66,3197300,33.81
2013-04-22,34.72,35.09,34.51,34.80,3040400,33.94
2013-04-15,34.56,34.82,33.80,34.71,3047600,33.85
2013-04-10,34.47,34.92,34.44,34.62,2980200,33.77
