Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,58.18,58.49,58.00,58.46,675500,58.46
2014-03-03,56.50,58.48,56.06,58.24,925500,58.24
2014-02-24,57.00,57.54,56.54,56.83,902600,56.83
2014-02-18,54.63,56.75,54.62,56.60,1312800,56.23
2014-02-10,52.57,55.11,52.01,55.02,1084000,54.66
2014-02-03,52.60,52.64,50.90,52.41,956100,52.07
2014-01-27,53.65,54.83,52.55,52.64,978300,52.30
2014-01-21,55.61,55.97,53.82,53.82,1156700,53.47
2014-01-13,56.03,57.18,55.48,55.58,1360200,55.22
2014-01-06,55.15,56.23,54.57,56.08,1018000,55.72
2013-12-30,55.70,56.49,54.73,55.01,787200,54.65
2013-12-23,55.26,55.80,54.70,55.76,399900,55.40
2013-12-16,53.49,55.43,53.36,54.94,855800,54.58
2013-12-09,55.07,55.39,52.79,53.19,713400,52.85
2013-12-02,52.72,55.33,52.11,54.96,1390600,54.60
2013-11-25,53.77,54.04,52.64,52.67,468900,52.33
2013-11-18,54.14,54.29,52.78,53.65,642600,52.98
2013-11-11,53.86,54.29,53.15,54.12,720500,53.45
2013-11-04,54.31,56.26,52.52,53.79,1380300,53.12
2013-10-28,53.94,55.54,53.28,53.99,905400,53.32
2013-10-21,52.74,54.47,52.54,53.89,1008000,53.22
2013-10-14,51.28,53.16,51.10,52.62,832300,51.97
2013-10-07,50.07,51.77,49.57,51.76,887600,51.12
2013-09-30,50.23,50.94,49.43,50.47,930000,49.84
2013-09-23,50.43,50.79,49.97,50.40,675300,49.77
2013-09-16,49.98,52.15,49.96,50.53,1018600,49.90
2013-09-09,49.28,49.78,48.95,49.54,890100,48.93
2013-09-03,49.50,49.85,48.25,49.24,1140000,48.63
2013-08-26,50.47,50.47,48.18,48.79,914800,48.18
2013-08-19,50.61,50.85,49.65,50.46,1110000,49.51
2013-08-12,52.93,52.93,50.42,50.78,1531100,49.83
2013-08-05,50.70,53.75,49.99,53.20,3058100,52.20
2013-07-29,49.70,51.00,49.53,50.79,1309100,49.84
2013-07-22,51.29,51.40,48.93,49.79,2029500,48.85
2013-07-15,51.34,51.79,50.70,51.39,1482700,50.42
2013-07-08,47.87,51.94,47.79,51.30,1685000,50.34
2013-07-01,48.18,48.47,47.16,47.65,903500,46.75
2013-06-24,47.15,49.15,46.94,47.86,1212300,46.96
2013-06-17,49.82,50.65,47.00,47.79,1806500,46.89
2013-06-10,50.71,51.19,49.18,49.59,1181700,48.66
2013-06-03,49.68,50.72,48.98,50.66,1318100,49.71
2013-05-28,52.01,52.37,49.39,49.41,1324400,48.48
2013-05-20,53.10,53.12,50.96,51.56,1196000,50.28
2013-05-13,50.08,53.35,49.75,53.32,1531300,51.99
2013-05-06,51.20,51.20,48.85,50.08,1500300,48.84
2013-04-29,51.23,51.83,50.36,51.31,956500,50.03
2013-04-22,52.52,53.10,50.79,51.01,1283400,49.74
2013-04-15,51.67,52.68,49.60,52.65,1429400,51.34
2013-04-10,50.02,51.91,50.02,51.91,884500,50.62
