Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,46.67,46.77,46.28,46.50,1598000,46.50
2014-03-03,45.50,48.18,44.87,46.84,2206600,46.84
2014-02-24,45.60,47.07,45.00,45.92,2211900,45.92
2014-02-18,43.43,46.72,43.27,45.58,2864400,45.58
2014-02-10,40.95,43.70,40.51,43.31,2720900,43.31
2014-02-03,41.31,46.40,39.50,40.95,4992500,40.95
2014-01-27,43.78,43.97,40.85,41.12,2355900,41.12
2014-01-21,47.30,47.98,43.75,43.78,1772100,43.78
2014-01-13,44.46,49.15,43.99,47.24,2456600,47.24
2014-01-06,45.60,46.59,43.94,44.31,2030900,44.31
2013-12-30,44.51,45.90,44.07,45.36,1639100,45.36
2013-12-23,44.91,45.64,43.91,44.76,1143800,44.76
2013-12-16,40.86,44.86,40.81,44.78,2836300,44.78
2013-12-09,41.96,42.39,39.16,40.99,3684700,40.99
2013-12-02,45.49,45.94,41.53,41.88,4012900,41.88
2013-11-25,45.43,45.90,45.02,45.64,1131800,45.64
2013-11-18,45.88,46.00,45.08,45.29,1989700,45.29
2013-11-11,43.50,45.61,43.36,45.59,1915100,45.59
2013-11-04,44.14,44.25,42.35,43.50,2915100,43.50
2013-10-28,44.59,47.05,43.57,44.00,3957000,44.00
2013-10-21,42.86,45.61,42.11,44.47,3051500,44.47
2013-10-14,52.25,52.64,41.11,42.64,8408200,42.64
2013-10-07,53.69,54.41,51.73,52.95,1938000,52.95
2013-09-30,55.92,56.26,53.35,54.12,1708500,54.12
2013-09-23,60.44,60.92,56.25,56.51,1311900,56.51
2013-09-16,59.96,61.01,58.96,60.73,1540600,60.73
2013-09-09,57.26,59.99,56.90,59.31,1508900,59.31
2013-09-03,59.30,59.63,55.45,56.92,1443800,56.92
2013-08-26,60.85,61.38,58.34,58.56,999900,58.56
2013-08-19,61.52,62.08,59.38,60.94,1336100,60.94
2013-08-12,63.67,64.90,60.98,61.69,1006600,61.69
2013-08-05,63.05,64.87,62.11,63.76,1329100,63.76
2013-07-29,58.29,65.96,58.21,63.37,2016400,63.37
2013-07-22,58.17,59.89,56.86,58.25,1220300,58.25
2013-07-15,56.10,59.66,55.38,58.08,1534000,58.08
2013-07-08,52.00,56.79,51.25,55.91,1646300,55.91
2013-07-01,50.60,51.83,49.58,51.69,1105100,51.69
2013-06-24,50.23,52.14,48.11,50.23,2904700,50.23
2013-06-17,55.80,56.48,50.53,50.70,2140800,50.70
2013-06-10,57.26,57.68,55.41,56.08,1167600,56.08
2013-06-03,55.76,56.92,53.86,56.90,1477800,56.90
2013-05-28,54.79,57.23,53.85,55.75,1837000,55.75
2013-05-20,56.86,58.55,54.19,54.40,2320400,54.40
2013-05-13,55.00,57.70,53.40,57.34,2762600,57.34
2013-05-06,50.77,55.50,50.61,55.25,2345000,55.25
2013-04-29,51.85,53.74,48.81,50.65,4152900,50.65
2013-04-22,50.56,52.64,49.20,52.09,2801500,52.09
2013-04-15,55.02,55.17,50.27,50.35,2048900,50.35
2013-04-10,54.09,56.51,54.09,55.20,2226600,55.20
