Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,58.94,59.17,58.44,58.91,794900,58.91
2014-03-03,57.99,60.03,57.55,59.11,1519100,59.11
2014-02-24,57.66,59.05,57.34,58.58,1940200,58.58
2014-02-18,57.32,58.16,57.15,57.47,2049300,57.22
2014-02-10,56.60,57.50,55.98,57.24,1397000,56.99
2014-02-03,56.59,56.65,54.17,56.61,1960100,56.36
2014-01-27,56.80,58.00,56.07,56.51,2777500,56.27
2014-01-21,56.15,61.14,55.68,57.32,3448100,57.07
2014-01-13,55.44,56.19,54.91,55.94,1703600,55.70
2014-01-06,54.70,55.95,54.16,55.44,1601800,55.20
2013-12-30,54.53,55.11,54.26,54.49,1232100,54.25
2013-12-23,54.00,54.87,53.94,54.53,644800,54.29
2013-12-16,52.04,53.93,51.65,53.74,2181600,53.51
2013-12-09,53.74,53.94,51.86,51.98,1676500,51.75
2013-12-02,52.64,53.70,52.44,53.62,1959900,53.39
2013-11-25,52.89,53.20,52.49,52.72,1229300,52.49
2013-11-18,52.07,53.44,50.85,52.99,2225400,52.51
2013-11-11,52.04,52.56,51.39,52.39,1894800,51.92
2013-11-04,51.55,52.77,51.26,52.22,1965500,51.75
2013-10-28,55.81,55.81,50.76,51.21,2342900,50.75
2013-10-21,53.51,54.15,53.11,53.60,1484700,53.12
2013-10-14,51.73,53.59,51.10,53.57,1538700,53.09
2013-10-07,51.52,52.14,49.22,51.98,1553300,51.51
2013-09-30,51.64,52.38,51.23,52.12,1157700,51.65
2013-09-23,53.03,53.10,51.72,51.96,1583600,51.49
2013-09-16,54.11,54.19,53.02,53.10,1917900,52.62
2013-09-09,50.70,53.65,50.70,53.44,1930700,52.96
2013-09-03,49.65,50.52,49.25,50.22,1600200,49.77
2013-08-26,50.06,50.14,48.29,49.00,1481700,48.56
2013-08-19,49.30,50.33,49.14,50.08,1127300,49.37
2013-08-12,50.31,50.99,49.24,49.40,1613700,48.70
2013-08-05,51.45,51.61,50.43,50.64,1699500,49.92
2013-07-29,50.23,51.63,50.23,51.51,1532800,50.78
2013-07-22,47.86,51.36,47.82,50.52,2514300,49.81
2013-07-15,47.45,48.11,46.97,47.77,1618600,47.10
2013-07-08,46.95,47.57,46.45,47.46,1695700,46.79
2013-07-01,45.80,46.82,45.77,46.70,1328300,46.04
2013-06-24,45.15,46.10,44.02,45.54,1573500,44.90
2013-06-17,45.69,46.89,44.67,45.61,1789000,44.97
2013-06-10,45.65,45.88,44.42,45.42,1226300,44.78
2013-06-03,44.55,45.69,43.88,45.53,1616900,44.89
2013-05-28,45.54,45.86,44.39,44.39,1852200,43.76
2013-05-20,45.72,46.46,44.80,45.28,1441700,44.39
2013-05-13,44.46,46.02,44.24,45.99,1394000,45.09
2013-05-06,44.08,45.23,44.08,44.49,1748400,43.62
2013-04-29,42.41,44.75,42.41,44.44,1720500,43.57
2013-04-22,39.41,43.20,39.09,42.43,1886700,41.60
2013-04-15,41.48,41.50,38.75,39.38,1882100,38.61
2013-04-10,41.15,42.21,40.89,41.61,1876200,40.80
