Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,42.30,42.58,41.65,42.01,1411400,42.01
2014-03-03,43.49,44.47,42.13,42.31,1549600,42.31
2014-02-24,46.92,48.70,42.85,44.12,3912800,44.12
2014-02-18,46.60,47.60,45.14,46.87,1700600,46.87
2014-02-10,44.79,47.23,44.17,46.56,1567100,46.56
2014-02-03,46.11,46.18,43.40,44.79,1278100,44.79
2014-01-27,45.02,46.73,44.27,46.01,1167200,46.01
2014-01-21,47.30,47.48,44.37,44.95,1804700,44.95
2014-01-13,46.64,47.94,45.63,47.24,1723600,47.24
2014-01-06,44.35,47.11,43.20,46.68,2636800,46.68
2013-12-30,40.80,44.83,40.43,44.20,1790900,44.20
2013-12-23,40.47,41.30,39.59,40.89,1303000,40.89
2013-12-16,40.42,41.32,38.71,40.31,2868000,40.31
2013-12-09,42.82,43.00,39.71,40.34,1589700,40.34
2013-12-02,43.00,43.60,42.01,42.70,1284300,42.70
2013-11-25,42.10,43.41,41.43,43.15,1847900,43.15
2013-11-18,42.68,42.70,40.46,42.10,1784900,42.10
2013-11-11,42.32,44.17,41.99,42.39,1831400,42.39
2013-11-04,47.56,48.48,41.31,42.33,4063500,42.33
2013-10-28,45.92,47.57,44.86,47.19,1187900,47.19
2013-10-21,47.83,47.87,44.44,45.93,1314500,45.93
2013-10-14,46.03,48.17,45.26,47.79,997400,47.79
2013-10-07,45.74,47.73,45.39,46.21,1576900,46.21
2013-09-30,39.95,47.15,39.72,46.10,3050500,46.10
2013-09-23,41.99,42.00,39.39,40.33,1452300,40.33
2013-09-16,40.65,43.47,40.25,42.03,1797400,42.03
2013-09-09,39.81,40.58,36.87,40.22,2507000,40.22
2013-09-03,39.49,40.98,38.72,39.86,1188000,39.86
2013-08-26,39.95,40.79,38.37,39.05,1024800,39.05
2013-08-19,39.67,40.75,38.99,39.99,1144700,39.99
2013-08-12,41.40,42.03,39.44,39.67,1009500,39.67
2013-08-05,43.94,45.89,40.98,41.66,2219400,41.66
2013-07-29,44.83,46.07,43.58,43.93,1274600,43.93
2013-07-22,42.69,44.80,42.55,44.78,938500,44.78
2013-07-15,43.90,45.68,42.29,42.65,1769800,42.65
2013-07-08,43.50,44.22,43.02,43.81,1169800,43.81
2013-07-01,46.64,47.08,42.97,43.28,1527100,43.28
2013-06-24,44.30,47.17,42.47,46.10,2874900,46.10
2013-06-17,46.92,46.92,41.16,41.85,1691000,41.85
2013-06-10,46.67,47.33,45.41,46.67,1009700,46.67
2013-06-03,47.56,47.88,44.18,46.58,1670600,46.58
2013-05-28,45.53,48.62,45.13,47.37,1714900,47.37
2013-05-20,45.85,46.75,43.92,44.89,2129100,44.89
2013-05-13,48.32,49.47,45.47,45.82,2513400,45.82
2013-05-06,46.63,48.87,46.32,48.66,1450500,48.66
2013-04-29,45.66,47.68,43.66,46.52,2811900,46.52
2013-04-22,39.99,41.53,38.81,41.16,1466000,41.16
2013-04-15,42.25,42.35,38.17,40.04,2286700,40.04
2013-04-10,42.34,42.67,40.78,42.40,3237800,42.40
