Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,93.77,93.80,92.35,93.47,1051100,93.47
2014-03-03,92.16,94.88,91.09,93.81,1144300,93.81
2014-02-24,89.60,93.97,89.34,93.25,1127200,93.25
2014-02-18,88.16,89.65,87.90,89.28,638700,89.28
2014-02-10,87.23,89.31,86.41,88.16,796900,88.16
2014-02-03,82.98,87.50,80.38,87.15,1603200,87.15
2014-01-27,83.63,84.61,81.64,83.19,1192500,83.19
2014-01-21,87.20,87.58,83.09,83.13,1290600,83.13
2014-01-13,90.30,90.48,86.58,86.71,1495500,86.71
2014-01-06,92.47,93.21,89.70,90.36,1183600,90.36
2013-12-30,91.43,93.64,90.91,92.28,696400,92.28
2013-12-23,89.50,92.00,89.49,90.87,653200,90.87
2013-12-16,89.16,91.51,88.97,90.62,981400,90.62
2013-12-09,89.86,90.93,88.63,89.31,747200,88.97
2013-12-02,89.14,90.74,87.63,89.70,1139700,89.36
2013-11-25,81.31,89.72,80.29,89.14,2528500,88.80
2013-11-18,83.00,83.48,79.81,81.08,824900,80.77
2013-11-11,79.53,82.86,79.53,82.74,907300,82.43
2013-11-04,79.14,80.59,78.15,79.65,590700,79.35
2013-10-28,79.36,80.46,78.50,79.01,532000,78.71
2013-10-21,78.39,79.37,77.72,79.32,861800,79.02
2013-10-14,75.92,78.46,75.22,78.14,822200,77.85
2013-10-07,76.63,76.99,73.63,76.57,1103600,76.28
2013-09-30,76.43,77.72,75.71,77.61,987200,77.32
2013-09-23,79.21,79.84,76.49,76.89,852800,76.60
2013-09-16,79.92,81.08,78.36,79.40,970600,79.10
2013-09-09,77.50,79.66,77.14,78.95,771900,78.32
2013-09-03,77.75,78.51,76.15,77.03,989400,76.41
2013-08-26,82.34,83.33,76.65,77.11,2247100,76.49
2013-08-19,79.45,82.09,78.81,82.00,1082400,81.34
2013-08-12,80.73,82.84,79.42,79.62,1136700,78.98
2013-08-05,81.09,81.70,80.37,81.36,800800,80.71
2013-07-29,79.80,81.78,78.38,81.47,1086100,80.82
2013-07-22,78.75,80.07,78.05,80.03,828500,79.39
2013-07-15,78.54,80.32,77.88,78.82,988300,78.19
2013-07-08,73.80,77.47,73.77,77.02,1233600,76.40
2013-07-01,73.29,73.60,72.06,73.44,790000,72.85
2013-06-24,71.60,73.50,70.70,72.84,1107100,72.26
2013-06-17,75.97,77.22,70.77,72.51,1361400,71.93
2013-06-10,79.40,79.56,74.28,75.48,1252300,74.54
2013-06-03,77.74,79.46,76.74,79.30,1114100,78.31
2013-05-28,80.78,81.25,77.51,77.78,1779500,76.81
2013-05-20,77.90,79.35,75.23,76.21,1327600,75.26
2013-05-13,76.28,78.29,76.04,78.00,1194800,77.03
2013-05-06,75.29,76.77,74.14,76.50,842300,75.55
2013-04-29,73.02,75.85,72.69,75.31,925000,74.37
2013-04-22,70.17,73.66,69.35,72.93,997200,72.02
2013-04-15,72.53,72.58,68.91,70.11,1363900,69.24
2013-04-10,71.31,74.20,71.21,72.67,1378400,71.76
