Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,80.11,80.43,79.60,79.83,411100,79.83
2014-03-03,76.63,80.37,76.45,80.27,387500,80.27
2014-02-24,76.05,78.09,75.60,77.51,442600,77.51
2014-02-18,75.85,77.36,75.16,76.08,388000,76.08
2014-02-10,74.72,76.28,74.23,75.86,601500,75.86
2014-02-03,75.10,75.43,71.74,75.08,613300,75.08
2014-01-27,74.57,75.86,73.59,75.15,577800,75.15
2014-01-21,78.17,78.24,74.56,74.56,474100,74.56
2014-01-13,78.04,78.45,76.91,77.71,422200,77.71
2014-01-06,77.84,78.94,77.03,78.27,572900,78.27
2013-12-30,78.24,78.38,77.08,77.58,313600,77.58
2013-12-23,78.06,79.42,77.58,78.24,266800,78.07
2013-12-16,76.09,78.01,74.88,77.85,602300,77.68
2013-12-09,77.15,77.15,75.66,75.84,395900,75.68
2013-12-02,76.05,77.04,74.61,76.78,451800,76.61
2013-11-25,75.53,76.88,75.19,76.00,341400,75.83
2013-11-18,75.69,75.85,74.21,75.41,460100,75.25
2013-11-11,73.90,75.54,72.52,75.42,409900,75.26
2013-11-04,73.01,74.59,72.49,73.90,458100,73.74
2013-10-28,73.43,74.26,72.51,72.77,644200,72.61
2013-10-21,75.06,75.79,72.76,73.36,395500,73.20
2013-10-14,72.48,75.12,72.27,75.02,411600,74.86
2013-10-07,71.98,73.44,70.26,73.16,327300,73.00
2013-09-30,72.18,72.75,70.75,72.56,404300,72.40
2013-09-23,72.10,73.14,71.55,72.84,306100,72.51
2013-09-16,73.11,73.11,71.48,71.94,536900,71.61
2013-09-09,70.55,72.64,70.39,72.17,229600,71.84
2013-09-03,69.68,71.17,68.74,70.55,343600,70.23
2013-08-26,71.35,71.53,68.69,68.89,374000,68.58
2013-08-19,70.84,71.87,69.57,71.32,358800,71.00
2013-08-12,70.91,71.68,70.07,70.93,268000,70.61
2013-08-05,72.40,72.46,70.37,71.16,325900,70.84
2013-07-29,70.32,73.09,70.03,72.40,434900,72.07
2013-07-22,69.55,70.79,69.45,70.34,396500,70.02
2013-07-15,69.39,70.38,68.43,69.55,333400,69.24
2013-07-08,67.45,69.49,67.40,69.24,490400,68.93
2013-07-01,65.48,67.09,65.45,67.08,393600,66.78
2013-06-24,63.96,65.83,63.39,65.14,378800,64.68
2013-06-17,65.08,65.88,64.10,64.55,501100,64.09
2013-06-10,65.04,65.44,63.45,64.66,440900,64.20
2013-06-03,64.41,65.00,62.51,64.96,607800,64.50
2013-05-28,64.87,65.74,64.06,64.51,491100,64.05
2013-05-20,64.74,65.53,63.43,64.26,470700,63.80
2013-05-13,64.06,65.49,63.78,64.86,569800,64.40
2013-05-06,62.60,64.28,62.57,64.20,492400,63.74
2013-04-29,61.40,63.01,60.85,62.63,495000,62.19
2013-04-22,59.33,61.74,58.56,61.31,505800,60.88
2013-04-15,59.52,59.58,58.18,59.30,546600,58.88
2013-04-10,58.64,60.03,58.24,59.62,556000,59.20
