Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,126.48,126.70,125.25,126.28,1766700,126.13
2014-03-03,123.07,127.63,122.14,126.67,1997100,126.52
2014-02-24,123.05,125.82,123.05,124.54,2697100,124.39
2014-02-18,123.76,125.01,121.60,123.18,2958200,123.03
2014-02-10,117.32,123.99,117.25,123.74,4346400,123.59
2014-02-03,115.17,117.91,111.21,117.77,3082300,117.63
2014-01-27,109.90,117.68,109.08,115.14,3214000,115.00
2014-01-21,116.29,116.50,109.93,109.95,2876400,109.82
2014-01-13,114.02,116.50,112.68,115.89,1935400,115.75
2014-01-06,110.57,114.81,109.63,114.46,2133700,114.32
2013-12-30,110.74,111.44,109.29,110.05,1517100,109.92
2013-12-23,109.50,111.03,108.44,110.67,1048800,110.54
2013-12-16,101.67,108.86,101.16,108.57,2322000,108.44
2013-12-09,102.98,103.18,100.04,101.34,1394900,101.22
2013-12-02,101.09,102.81,99.12,102.71,1384600,102.44
2013-11-25,101.81,102.58,100.62,100.85,1277600,100.58
2013-11-18,101.39,103.12,99.94,101.51,1143800,101.24
2013-11-11,98.27,101.52,96.88,101.37,1574400,101.10
2013-11-04,98.29,98.41,95.52,98.17,1257800,97.91
2013-10-28,97.77,98.52,96.31,97.93,1410600,97.67
2013-10-21,96.10,98.36,95.08,97.81,1918900,97.55
2013-10-14,92.29,96.79,91.26,96.12,1845300,95.86
2013-10-07,91.96,93.08,89.71,92.96,1527600,92.71
2013-09-30,92.22,93.29,90.61,92.36,1277500,92.11
2013-09-23,93.20,93.76,91.94,93.01,1130900,92.76
2013-09-16,92.01,94.74,91.37,93.49,1901700,93.24
2013-09-09,90.77,91.80,90.09,91.11,1957200,90.87
2013-09-03,89.97,91.19,89.41,90.51,1190100,90.12
2013-08-26,91.00,91.59,88.13,88.83,1170500,88.45
2013-08-19,90.57,91.17,89.54,90.85,1249100,90.46
2013-08-12,92.06,92.67,90.36,90.69,1087100,90.30
2013-08-05,91.58,92.55,91.43,92.47,1308700,92.07
2013-07-29,90.35,92.72,90.11,91.81,1635100,91.41
2013-07-22,89.42,92.29,89.24,90.59,1852900,90.20
2013-07-15,88.38,89.63,86.92,89.58,1602700,89.19
2013-07-08,86.01,89.20,85.65,88.19,1629800,87.81
2013-07-01,85.03,87.49,84.41,85.42,1729300,85.05
2013-06-24,82.26,85.76,81.04,84.63,2396100,84.26
2013-06-17,85.59,86.38,81.18,83.09,2732200,82.73
2013-06-10,84.95,86.09,83.37,85.12,2562700,84.75
2013-06-03,88.82,89.00,84.50,84.58,5132900,84.07
2013-05-28,87.89,89.50,86.85,88.30,2232000,87.76
2013-05-20,86.70,88.08,84.52,87.22,2085100,86.69
2013-05-13,84.11,86.42,83.83,86.27,1987300,85.75
2013-05-06,82.16,84.50,81.92,84.46,2058000,83.95
2013-04-29,81.24,82.59,80.21,82.17,1718100,81.67
2013-04-22,80.06,82.10,79.37,81.13,2816700,80.64
2013-04-15,84.28,84.55,77.81,80.03,6475000,79.54
2013-04-10,79.17,81.96,79.17,79.59,3910200,79.11
