Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,109.16,109.79,106.90,107.54,1478100,107.54
2014-03-03,98.81,109.46,98.19,108.06,2259600,108.06
2014-02-24,97.00,102.85,96.50,100.24,1807700,100.24
2014-02-18,91.19,97.97,90.56,96.92,2038400,96.92
2014-02-10,84.05,93.13,82.37,91.25,4367400,91.25
2014-02-03,76.94,85.42,72.57,84.45,2775200,84.45
2014-01-27,80.34,80.79,75.56,77.19,1738700,77.19
2014-01-21,84.66,85.16,80.25,80.36,1914900,80.36
2014-01-13,86.43,86.83,82.36,83.90,1354100,83.90
2014-01-06,80.82,86.80,79.35,86.80,1816500,86.80
2013-12-30,81.46,82.89,79.40,80.92,1223800,80.92
2013-12-23,83.78,84.12,81.45,81.64,945600,81.64
2013-12-16,82.05,83.70,78.67,83.13,3010000,83.13
2013-12-09,85.75,87.00,81.27,81.38,1915500,81.38
2013-12-02,88.25,89.57,84.52,85.61,1530800,85.61
2013-11-25,87.88,89.46,85.23,88.32,1011200,88.32
2013-11-18,87.64,89.21,86.52,87.40,1297500,87.40
2013-11-11,84.40,90.43,83.58,87.77,2162500,87.77
2013-11-04,84.00,89.47,80.69,84.48,2677400,84.48
2013-10-28,76.89,84.64,75.88,83.38,2800500,83.38
2013-10-21,72.10,77.57,69.33,76.98,4915800,76.98
2013-10-14,73.40,75.43,71.60,71.87,2879800,71.87
2013-10-07,77.89,78.00,68.11,74.01,2528400,74.01
2013-09-30,74.72,79.89,74.16,78.41,1657200,78.41
2013-09-23,77.00,78.17,73.12,75.85,1353400,75.85
2013-09-16,73.83,79.08,72.11,75.12,1776700,75.12
2013-09-09,74.53,75.90,72.25,72.82,1542500,72.82
2013-09-03,74.90,75.73,72.76,74.11,936900,74.11
2013-08-26,71.72,74.67,70.60,73.97,1144600,73.97
2013-08-19,71.15,72.62,68.84,71.87,1151000,71.87
2013-08-12,80.76,82.19,69.19,70.99,3160300,70.99
2013-08-05,75.96,81.49,75.83,80.94,1478300,80.94
2013-07-29,73.49,76.93,72.01,75.79,1276700,75.79
2013-07-22,61.11,74.86,60.03,73.95,2773000,73.95
2013-07-15,61.35,62.97,59.85,60.62,1155900,60.62
2013-07-08,62.00,63.75,59.74,61.05,1816000,61.05
2013-07-01,61.45,61.78,59.54,61.70,1791700,61.70
2013-06-24,59.48,63.02,58.74,60.87,2280200,60.87
2013-06-17,64.18,65.20,60.10,60.28,1813000,60.28
2013-06-10,64.17,65.10,63.18,63.75,1142200,63.75
2013-06-03,63.15,64.17,60.73,64.05,2108000,64.05
2013-05-28,62.57,65.41,62.01,64.49,3072000,64.49
2013-05-20,60.07,63.57,59.07,61.69,1959700,61.69
2013-05-13,53.68,60.48,53.29,59.88,2684400,59.88
2013-05-06,55.26,56.80,51.72,53.84,2728800,53.84
2013-04-29,53.69,55.64,51.88,55.30,1701200,55.30
2013-04-22,51.29,54.80,50.34,53.72,1561500,53.72
2013-04-15,52.82,53.50,50.62,51.09,1691900,51.09
2013-04-10,48.66,52.69,48.41,52.49,1790300,52.49
