Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,83.70,83.89,83.34,83.78,1954400,83.78
2014-03-03,83.45,84.86,82.60,83.93,2166400,83.93
2014-02-24,83.83,84.39,82.55,83.84,2174700,83.34
2014-02-18,84.08,85.18,83.37,83.79,2406500,83.29
2014-02-10,81.33,84.07,80.65,84.02,3169000,83.52
2014-02-03,81.20,81.28,79.89,80.88,2853600,80.40
2014-01-27,81.25,83.57,80.88,81.28,3718700,80.80
2014-01-21,86.25,86.27,81.61,81.61,4267100,81.13
2014-01-13,87.33,88.00,86.27,86.47,2131500,85.96
2014-01-06,89.72,89.90,87.08,87.49,1951900,86.97
2013-12-30,90.04,90.74,88.88,89.16,1342000,88.63
2013-12-23,89.91,90.21,89.01,89.85,871600,89.32
2013-12-16,86.99,89.64,86.26,89.18,2639900,88.65
2013-12-09,89.05,89.28,86.29,86.49,2021600,85.98
2013-12-02,90.26,90.40,87.84,89.01,2563600,88.48
2013-11-25,90.55,91.68,90.53,90.74,1846300,89.69
2013-11-18,88.88,90.59,87.69,90.52,1675800,89.47
2013-11-11,87.78,88.87,86.08,88.67,1859300,87.64
2013-11-04,86.51,88.03,86.14,87.80,1675800,86.78
2013-10-28,86.66,87.50,86.02,86.40,1544800,85.40
2013-10-21,86.69,88.05,85.62,86.63,2258500,85.63
2013-10-14,84.23,86.76,84.20,86.58,1844500,85.58
2013-10-07,84.05,84.78,82.24,84.66,1697100,83.68
2013-09-30,84.89,85.15,83.70,84.68,1801000,83.70
2013-09-23,86.62,87.20,85.11,85.41,1653800,84.42
2013-09-16,84.57,87.53,84.10,86.06,2806400,85.06
2013-09-09,80.74,83.91,80.54,83.56,2193500,82.59
2013-09-03,80.74,81.32,79.12,80.49,1658200,79.56
2013-08-26,80.25,80.75,79.16,79.90,1719600,78.49
2013-08-19,81.15,81.19,79.13,80.19,1603400,78.77
2013-08-12,81.55,82.54,80.83,81.10,1874600,79.66
2013-08-05,83.87,84.00,81.47,82.10,1591500,80.65
2013-07-29,83.56,84.77,82.87,84.00,2022200,82.51
2013-07-22,84.66,85.53,81.51,83.60,2945500,82.12
2013-07-15,83.90,84.80,82.96,84.66,1851200,83.16
2013-07-08,81.60,84.24,81.09,84.18,1730900,82.69
2013-07-01,80.44,81.50,79.35,81.34,1684100,79.90
2013-06-24,78.14,80.64,77.38,79.92,2407400,78.50
2013-06-17,82.48,84.27,78.57,79.07,2573600,77.67
2013-06-10,83.44,83.62,80.91,82.15,1743200,80.70
2013-06-03,83.78,84.32,80.63,83.44,2695700,81.96
2013-05-28,84.38,85.09,82.63,83.72,2220100,81.74
2013-05-20,86.24,86.67,82.59,83.60,2563200,81.62
2013-05-13,86.31,87.91,86.05,86.50,1617300,84.45
2013-05-06,85.37,87.40,84.91,86.49,1623200,84.44
2013-04-29,85.20,85.71,83.98,85.41,1725700,83.39
2013-04-22,84.80,89.00,83.95,85.15,2408700,83.13
2013-04-15,86.20,86.61,83.73,84.81,2153000,82.80
2013-04-10,85.29,86.41,84.64,86.26,1684600,84.22
