Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,53.53,53.76,52.33,52.78,2637900,52.78
2014-03-03,50.41,54.56,50.41,53.47,2789700,53.47
2014-02-24,50.67,52.77,50.03,51.01,2454900,51.01
2014-02-18,50.24,51.62,49.67,50.34,2792200,50.10
2014-02-10,48.50,50.89,46.88,50.26,3120100,50.02
2014-02-03,51.38,51.75,46.40,47.89,5283600,47.66
2014-01-27,50.68,52.87,49.83,51.52,2566500,51.27
2014-01-21,52.93,53.89,50.03,50.57,2811300,50.33
2014-01-13,57.11,57.61,51.75,52.58,3820300,52.33
2014-01-06,57.33,58.51,56.31,57.51,3987100,57.23
2013-12-30,57.34,59.07,56.30,57.14,2586300,56.86
2013-12-23,56.72,58.79,56.54,57.37,2092900,57.09
2013-12-16,56.51,58.58,55.74,56.16,3668800,55.89
2013-12-09,58.41,59.37,55.69,56.30,4030300,56.03
2013-12-02,58.89,59.57,54.66,57.70,4456700,57.42
2013-11-25,57.33,59.54,56.46,58.63,3534100,58.35
2013-11-18,55.21,57.82,54.43,57.42,4365700,56.90
2013-11-11,50.06,55.27,49.76,54.53,4538900,54.03
2013-11-04,48.00,50.90,47.05,50.09,3983500,49.63
2013-10-28,47.09,50.56,46.64,47.82,3030200,47.38
2013-10-21,49.29,50.77,46.46,46.96,3883800,46.53
2013-10-14,44.78,49.16,44.33,49.13,3888700,48.68
2013-10-07,43.73,46.25,40.90,45.19,4715900,44.78
2013-09-30,44.22,44.50,42.92,44.21,3751900,43.81
2013-09-23,44.30,45.91,43.70,44.74,2744100,44.33
2013-09-16,46.45,46.64,44.32,44.41,3116900,44.00
2013-09-09,46.57,46.57,44.43,46.11,3762100,45.69
2013-09-03,46.56,47.64,45.50,46.78,3558300,46.35
2013-08-26,49.01,49.23,45.81,46.09,2706400,45.67
2013-08-19,48.66,49.95,45.53,49.01,4222000,48.30
2013-08-12,52.68,53.06,48.14,48.80,3065200,48.09
2013-08-05,55.30,56.87,52.75,53.08,3686400,52.31
2013-07-29,54.39,57.99,54.25,55.30,3048100,54.50
2013-07-22,51.95,54.75,51.33,54.51,2039900,53.72
2013-07-15,55.36,55.38,50.66,51.74,2760900,50.99
2013-07-08,51.44,55.59,49.92,55.20,3367600,54.40
2013-07-01,52.40,53.21,49.26,51.28,2865900,50.54
2013-06-24,53.01,54.84,50.72,52.32,3080700,51.56
2013-06-17,57.45,58.88,52.94,54.13,3926200,53.35
2013-06-10,59.10,59.46,56.54,57.16,2290400,56.33
2013-06-03,62.20,62.79,56.91,58.68,3230700,57.83
2013-05-28,62.44,63.38,60.45,61.65,4157800,60.76
2013-05-20,63.00,65.75,60.35,61.23,5183400,60.15
2013-05-13,54.46,62.71,53.78,62.24,5995600,61.14
2013-05-06,55.50,58.52,54.02,54.41,3697900,53.45
2013-04-29,54.20,55.94,50.77,55.47,3711900,54.49
2013-04-22,50.85,55.97,50.34,53.84,3306000,52.89
2013-04-15,50.91,50.93,47.98,50.67,3789400,49.78
2013-04-10,54.12,54.43,50.75,51.46,3309200,50.55
