Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,139.87,140.99,139.42,139.88,1896900,139.88
2014-03-03,139.00,142.34,137.58,140.21,2589300,140.21
2014-02-24,141.12,142.16,136.79,140.35,3653200,140.35
2014-02-18,146.16,146.45,139.60,140.54,7208800,139.78
2014-02-10,134.80,147.28,134.15,146.00,8247100,145.21
2014-02-03,135.74,136.44,133.50,135.35,2305000,134.62
2014-01-27,132.57,135.48,130.53,133.27,3490700,132.55
2014-01-21,134.91,135.62,133.34,133.70,2708000,132.97
2014-01-13,132.78,137.20,130.88,135.71,4296500,134.97
2014-01-06,135.00,135.57,132.18,133.36,2113000,132.64
2013-12-30,134.33,135.61,133.10,133.40,1236200,132.68
2013-12-23,133.01,134.59,132.45,134.46,997900,133.73
2013-12-16,131.80,134.60,130.92,132.46,2313000,131.74
2013-12-09,130.53,135.99,129.69,131.41,3363000,130.70
2013-12-02,137.98,139.85,130.55,131.00,4500400,130.29
2013-11-25,132.23,139.17,130.76,138.22,4015100,137.47
2013-11-18,120.88,133.73,119.77,132.92,4001400,131.55
2013-11-11,120.89,122.30,116.98,120.88,1609300,119.63
2013-11-04,125.00,125.00,118.00,121.08,2128000,119.83
2013-10-28,118.94,128.17,115.62,123.51,3050000,122.24
2013-10-21,118.25,120.60,117.58,119.44,1234900,118.21
2013-10-14,115.63,118.86,113.37,118.20,1929700,116.98
2013-10-07,112.11,117.16,108.88,115.79,2389500,114.60
2013-09-30,111.25,113.58,111.07,112.79,1693000,111.63
2013-09-23,113.08,113.73,109.72,112.17,1745900,111.01
2013-09-16,112.81,116.00,111.81,113.59,1706100,112.42
2013-09-09,109.43,111.57,108.93,111.21,1640600,110.06
2013-09-03,108.24,110.56,107.63,109.07,1495100,107.94
2013-08-26,109.11,110.26,106.01,107.35,1218200,106.24
2013-08-19,110.04,110.27,107.36,108.73,1453100,107.61
2013-08-12,114.72,114.84,109.37,109.94,2136200,108.81
2013-08-05,116.53,118.39,113.37,115.00,1686800,113.81
2013-07-29,116.96,120.93,108.26,117.10,3357600,115.89
2013-07-22,116.34,118.29,114.70,116.85,2147700,115.64
2013-07-15,115.42,119.46,112.12,116.47,2698600,115.27
2013-07-08,113.23,116.95,111.70,115.16,3053800,113.97
2013-07-01,112.76,114.71,107.80,112.36,3397900,111.20
2013-06-24,100.80,113.06,98.46,112.48,4247700,111.32
2013-06-17,102.50,104.00,99.81,101.83,3064200,100.78
2013-06-10,95.96,104.13,93.57,103.93,3183600,102.86
2013-06-03,95.50,95.55,92.87,94.93,1759800,93.95
2013-05-28,95.93,97.33,94.51,95.51,2131200,94.52
2013-05-20,97.96,98.09,94.62,95.03,1689400,93.41
2013-05-13,97.67,99.43,96.86,97.95,1609200,96.28
2013-05-06,96.04,98.75,95.69,98.04,1683200,96.37
2013-04-29,93.68,96.94,93.42,96.34,2644100,94.70
2013-04-22,91.60,93.86,89.81,93.43,3137500,91.84
2013-04-15,93.23,93.63,90.36,91.28,3271400,89.73
2013-04-10,94.70,95.41,93.03,93.67,3662600,92.08
