Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,68.19,68.69,67.66,68.53,5466000,68.53
2014-03-03,66.72,69.33,66.10,68.30,5909100,68.30
2014-02-24,64.96,67.63,64.04,67.13,6189500,67.13
2014-02-18,65.24,65.85,64.44,64.73,4869200,64.41
2014-02-10,63.40,65.87,63.31,65.30,5355400,64.98
2014-02-03,62.83,64.62,60.72,63.91,7832700,63.60
2014-01-27,63.53,64.26,62.08,62.83,7278600,62.52
2014-01-21,64.50,65.98,63.05,63.32,6569700,63.01
2014-01-13,65.98,66.26,64.19,64.40,5830600,64.08
2014-01-06,68.91,68.98,65.80,66.19,5735800,65.87
2013-12-30,69.86,70.06,68.41,68.67,3231800,68.33
2013-12-23,68.54,70.10,68.25,69.64,2284500,69.30
2013-12-16,66.08,68.90,65.40,68.34,4460100,68.00
2013-12-09,66.50,66.97,65.39,65.55,4920600,65.23
2013-12-02,65.66,66.72,64.73,66.57,4285800,66.24
2013-11-25,67.12,67.34,65.16,65.71,3896000,65.39
2013-11-18,67.31,67.78,65.63,66.99,3906800,66.37
2013-11-11,67.52,68.72,66.15,67.64,3686900,67.02
2013-11-04,68.98,70.77,65.02,67.65,6567800,67.03
2013-10-28,70.13,70.69,67.86,68.81,4114500,68.18
2013-10-21,68.84,70.58,68.77,70.26,3333700,69.61
2013-10-14,67.41,68.93,67.24,68.73,4321100,68.10
2013-10-07,65.34,68.42,64.20,67.92,4797300,67.30
2013-09-30,65.78,66.68,64.91,66.46,3821300,65.85
2013-09-23,63.97,66.34,63.12,66.20,4489700,65.59
2013-09-16,63.29,64.83,62.50,64.30,5636800,63.71
2013-09-09,61.43,63.68,61.43,62.56,3617100,61.98
2013-09-03,61.38,62.30,60.88,61.45,3051800,60.88
2013-08-26,62.37,62.89,60.26,60.53,3080300,59.97
2013-08-19,60.72,62.80,60.07,62.36,3409800,61.50
2013-08-12,63.13,63.80,60.57,60.86,3730700,60.02
2013-08-05,64.14,66.01,63.10,63.40,5677900,62.52
2013-07-29,62.84,64.50,61.89,64.29,3819900,63.40
2013-07-22,61.91,63.05,61.82,63.02,2997100,62.15
2013-07-15,61.61,62.43,60.76,61.77,3679600,60.92
2013-07-08,61.57,62.10,60.72,61.70,5096800,60.85
2013-07-01,58.12,61.45,58.12,61.41,5191900,60.56
2013-06-24,56.24,58.25,55.71,57.82,4965100,57.02
2013-06-17,57.82,59.18,55.82,56.81,4712300,56.02
2013-06-10,58.78,58.78,55.86,57.47,5350400,56.68
2013-06-03,58.32,59.10,56.30,58.77,4831900,57.96
2013-05-28,59.88,60.43,58.37,58.37,5367800,57.56
2013-05-20,60.72,61.06,59.14,59.28,5131200,58.18
2013-05-13,60.72,61.48,60.41,60.71,4581400,59.59
2013-05-06,60.27,61.73,60.11,60.94,4645100,59.81
2013-04-29,59.94,60.72,58.23,60.43,6841200,59.31
2013-04-22,59.90,60.72,58.93,59.67,5238500,58.57
2013-04-15,59.27,60.01,58.01,59.75,6149700,58.64
2013-04-10,58.88,59.82,58.70,59.46,5736000,58.36
