Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,45.91,46.00,45.53,45.87,3370300,45.87
2014-03-03,44.68,46.04,44.15,45.85,4712300,45.85
2014-02-24,44.22,45.19,44.07,44.96,5052800,44.96
2014-02-18,43.75,44.43,43.24,44.15,5553300,44.15
2014-02-10,41.97,43.94,41.89,43.86,5358700,43.86
2014-02-03,42.42,42.50,40.33,41.95,8638600,41.95
2014-01-27,42.95,43.27,41.26,42.40,8372000,42.40
2014-01-21,43.75,44.82,42.88,42.95,9037200,42.65
2014-01-13,42.96,43.85,42.12,43.45,6191600,43.15
2014-01-06,43.25,43.39,42.62,43.11,4918600,42.81
2013-12-30,43.50,44.09,42.88,43.29,4182300,42.99
2013-12-23,43.00,43.83,42.90,43.67,2286600,43.36
2013-12-16,42.18,43.11,42.05,42.84,5532800,42.54
2013-12-09,43.65,43.67,41.91,41.95,5400800,41.66
2013-12-02,42.95,43.56,42.22,43.49,5316300,43.19
2013-11-25,42.66,43.08,41.94,43.00,4725700,42.70
2013-11-18,42.62,42.70,41.81,42.64,4258600,42.34
2013-11-11,41.94,42.75,41.51,42.55,5188700,42.25
2013-11-04,42.18,42.30,41.50,41.98,5118900,41.69
2013-10-28,40.13,42.37,40.09,42.03,9926600,41.74
2013-10-21,40.55,41.22,39.19,40.23,9717300,39.66
2013-10-14,40.23,40.77,39.74,40.71,6303300,40.13
2013-10-07,39.61,40.43,38.92,40.38,6004100,39.80
2013-09-30,39.88,40.55,39.68,39.93,5231400,39.36
2013-09-23,40.50,40.62,40.00,40.16,4343300,39.59
2013-09-16,40.50,40.94,40.28,40.52,5870900,39.94
2013-09-09,39.39,40.39,39.25,40.28,5386400,39.71
2013-09-03,38.62,39.60,38.48,39.18,4959000,38.62
2013-08-26,39.16,39.56,38.06,38.20,5722900,37.66
2013-08-19,38.94,39.14,38.00,39.07,5906000,38.51
2013-08-12,39.48,39.92,38.36,38.74,6721600,38.19
2013-08-05,39.72,39.99,39.42,39.78,4766700,39.21
2013-07-29,38.62,39.99,38.54,39.94,7586400,39.37
2013-07-22,37.55,39.74,37.22,39.11,11254600,38.28
2013-07-15,37.49,38.16,37.13,37.26,6486500,36.47
2013-07-08,36.13,37.49,35.41,37.49,7648600,36.69
2013-07-01,34.95,36.02,34.81,36.00,5720200,35.23
2013-06-24,34.82,35.41,34.10,34.85,8314700,34.11
2013-06-17,35.80,36.34,34.40,34.95,8377500,34.21
2013-06-10,36.25,36.76,34.58,35.48,7883800,34.72
2013-06-03,35.94,36.99,35.21,36.18,7242000,35.41
2013-05-28,36.65,36.72,35.87,35.91,9213000,35.14
2013-05-20,36.75,36.84,35.53,35.99,7571000,35.22
2013-05-13,36.92,37.03,36.46,36.77,9734700,35.99
2013-05-06,37.19,37.36,36.81,37.04,6962600,36.25
2013-04-29,35.98,37.20,35.68,37.01,9873100,36.22
2013-04-22,34.31,36.26,34.06,35.74,11250600,34.98
2013-04-15,35.58,35.88,33.56,34.25,11849200,33.26
2013-04-10,35.35,35.92,35.23,35.85,8295600,34.81
