Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,39.93,39.93,38.97,39.63,2607500,39.61
2014-03-03,39.10,40.55,38.70,40.18,1431200,40.16
2014-02-24,38.46,40.08,38.41,39.70,2355200,39.68
2014-02-18,37.48,38.56,37.17,38.31,2582700,38.29
2014-02-10,35.74,37.38,35.13,37.33,1588000,37.31
2014-02-03,35.56,36.01,33.82,35.82,1969900,35.80
2014-01-27,36.49,37.21,35.44,35.50,2690700,35.48
2014-01-21,36.47,39.24,35.68,36.41,4666000,36.39
2014-01-13,35.46,36.24,34.66,36.10,2416500,36.08
2014-01-06,36.50,36.78,35.21,35.67,2322200,35.65
2013-12-30,36.64,36.94,35.89,36.31,1622500,36.29
2013-12-23,36.38,37.15,35.65,36.61,3356600,36.59
2013-12-16,31.60,37.43,31.48,37.29,4104700,37.27
2013-12-09,32.65,32.84,31.33,31.46,1426300,31.44
2013-12-02,33.25,33.70,31.54,32.62,2408700,32.58
2013-11-25,32.07,33.79,31.98,33.23,2290800,33.19
2013-11-18,30.76,32.07,30.35,31.98,2407000,31.94
2013-11-11,30.12,31.18,29.98,30.65,2080900,30.62
2013-11-04,29.07,30.29,29.05,30.28,2186300,30.25
2013-10-28,29.01,29.40,28.62,29.00,1447000,28.97
2013-10-21,28.31,29.11,27.97,29.07,2469100,29.04
2013-10-14,27.04,28.50,26.51,28.25,3070500,28.22
2013-10-07,26.71,27.53,26.17,27.31,2201000,27.28
2013-09-30,27.47,27.96,26.71,27.12,1869000,27.09
2013-09-23,28.47,28.86,27.58,27.90,2772300,27.87
2013-09-16,29.06,29.48,28.47,28.47,1857500,28.44
2013-09-09,28.23,29.81,27.98,28.67,2995700,28.64
2013-09-03,27.33,28.43,27.07,28.17,1799900,28.12
2013-08-26,27.85,28.10,26.54,26.94,1679500,26.89
2013-08-19,27.45,27.86,27.04,27.75,1674800,27.70
2013-08-12,27.74,28.90,27.42,27.60,2355100,27.55
2013-08-05,28.65,29.13,27.92,28.00,2259800,27.95
2013-07-29,27.34,28.73,27.33,28.73,2550500,28.68
2013-07-22,28.75,29.40,27.41,27.59,2841000,27.54
2013-07-15,27.58,28.71,26.92,28.54,3689300,28.49
2013-07-08,26.37,27.97,26.16,27.64,3129300,27.59
2013-07-01,26.15,26.44,25.36,26.24,1409500,26.19
2013-06-24,25.60,26.45,25.08,26.05,2267500,26.00
2013-06-17,26.75,27.32,25.63,25.90,2866900,25.85
2013-06-10,26.96,27.41,25.93,26.50,2691700,26.45
2013-06-03,27.05,27.18,25.66,26.92,2285900,26.85
2013-05-28,27.88,28.18,26.60,26.96,2693300,26.89
2013-05-20,28.12,28.42,26.71,27.51,2609300,27.44
2013-05-13,27.11,28.26,26.97,28.25,2615300,28.18
2013-05-06,25.72,27.48,25.68,27.13,2636500,27.06
2013-04-29,26.14,26.33,24.87,25.72,3610100,25.65
2013-04-22,26.41,26.44,25.50,26.06,4165600,25.99
2013-04-15,29.56,29.65,25.22,26.35,6541200,26.28
2013-04-10,28.74,30.22,28.74,29.81,2759700,29.73
