Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,42.55,42.58,41.90,42.08,2993200,41.67
2014-03-03,41.15,42.94,40.89,42.69,6016400,42.28
2014-02-24,42.31,42.37,40.74,41.30,6299100,40.90
2014-02-18,41.03,42.47,40.40,42.06,10255600,41.65
2014-02-10,41.35,41.90,40.32,40.83,11049300,40.43
2014-02-03,40.49,41.54,39.29,41.42,11012500,41.02
2014-01-27,38.97,40.89,38.45,40.49,6713000,40.10
2014-01-21,39.50,39.68,38.53,38.97,5590400,38.59
2014-01-14,39.22,39.48,38.92,39.22,6702700,38.84
2014-01-06,38.25,39.86,37.95,39.25,8795300,38.87
2013-12-30,38.41,38.68,37.77,38.03,5445800,37.66
2013-12-23,37.30,38.42,37.21,38.30,5727500,37.93
2013-12-16,34.53,37.33,34.40,37.01,12304600,36.65
2013-12-09,36.22,36.40,33.98,34.25,6746800,33.92
2013-12-02,35.34,36.91,34.94,36.21,8059300,35.48
2013-11-25,35.25,36.23,35.11,35.22,4868900,34.51
2013-11-18,35.29,35.55,34.53,35.27,4823300,34.55
2013-11-11,34.85,35.29,34.22,35.23,6075300,34.52
2013-11-04,35.82,35.94,34.24,34.79,6139700,34.08
2013-10-28,37.37,37.47,35.03,35.52,6788900,34.80
2013-10-21,36.16,37.35,35.81,37.30,4073900,36.54
2013-10-14,35.67,36.35,35.28,36.24,5318700,35.50
2013-10-07,35.60,36.30,34.67,36.15,4404800,35.42
2013-09-30,36.04,36.98,35.76,35.92,5142000,35.19
2013-09-23,36.46,36.83,35.91,36.24,3222200,35.50
2013-09-16,36.16,36.94,35.04,36.63,5966700,35.89
2013-09-09,35.29,36.26,35.27,35.93,9354600,35.20
2013-09-03,36.60,36.64,34.95,35.12,8308200,34.06
2013-08-26,36.50,36.77,35.69,36.24,3504500,35.15
2013-08-19,34.94,36.35,34.02,36.31,5234000,35.21
2013-08-12,35.20,35.66,34.76,34.99,5423400,33.93
2013-08-05,36.13,36.34,35.19,35.39,9854800,34.32
2013-07-29,33.90,36.45,33.66,36.22,7144700,35.13
2013-07-22,34.20,34.76,33.26,33.91,4312600,32.89
2013-07-15,33.78,34.66,33.29,34.28,5099600,33.24
2013-07-08,32.81,33.93,32.81,33.82,4031400,32.80
2013-07-01,32.65,33.24,32.36,32.68,4001200,31.69
2013-06-24,32.00,33.94,31.25,32.47,7902100,31.49
2013-06-17,33.48,33.76,31.59,32.29,8335300,31.31
2013-06-10,35.36,35.37,32.54,33.31,8915700,32.30
2013-06-03,35.22,35.35,33.93,35.23,8409400,34.17
2013-05-28,37.13,37.24,35.14,35.18,9813800,33.77
2013-05-20,37.21,38.20,36.49,36.67,10684800,35.20
2013-05-13,36.50,37.23,36.08,37.21,6529700,35.72
2013-05-06,37.52,37.67,35.02,36.50,13810700,35.04
2013-04-29,38.24,38.45,37.22,37.54,5048700,36.03
2013-04-22,37.48,38.57,37.08,38.04,4286100,36.51
2013-04-15,37.41,37.78,36.41,37.27,5086000,35.78
2013-04-10,37.81,38.19,36.93,37.73,4144800,36.22
