Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,95.15,95.55,94.66,95.50,9964500,95.50
2014-03-03,95.76,96.86,93.27,94.99,13912300,94.99
2014-02-24,95.61,97.25,95.16,96.27,11503100,96.27
2014-02-18,94.07,95.77,93.36,95.03,12728400,95.03
2014-02-10,90.45,94.43,89.36,94.11,12889700,94.11
2014-02-03,91.92,92.31,89.25,90.58,16081100,90.58
2014-01-27,95.08,96.20,91.70,92.16,13685900,91.51
2014-01-21,98.57,98.95,94.82,94.85,13866900,94.18
2014-01-13,99.91,100.34,98.25,99.16,11244200,98.46
2014-01-06,99.94,101.22,98.89,100.52,11285100,99.81
2013-12-30,101.53,101.55,99.14,99.51,9460300,98.81
2013-12-23,99.00,101.74,98.33,101.51,8509000,100.80
2013-12-16,96.28,99.95,96.03,98.68,19143000,97.99
2013-12-09,95.95,96.25,94.16,95.31,12877700,94.64
2013-12-02,93.27,95.71,92.92,95.65,11526600,94.98
2013-11-25,95.21,95.75,93.30,93.48,9492900,92.82
2013-11-18,95.98,96.00,94.29,95.01,11011900,94.34
2013-11-11,92.85,95.29,92.07,95.27,10843100,94.60
2013-11-04,90.00,93.28,90.00,92.73,16816100,92.08
2013-10-28,87.83,90.96,87.61,89.82,14555300,88.59
2013-10-21,87.50,88.73,86.84,87.97,11712300,86.76
2013-10-14,86.51,87.86,86.51,87.55,11258300,86.35
2013-10-07,85.57,86.95,84.79,86.95,14018100,85.75
2013-09-30,86.06,86.70,85.28,86.32,13292300,85.13
2013-09-23,88.29,88.91,86.61,86.90,11717700,85.71
2013-09-16,88.88,89.87,88.37,88.66,13181100,87.44
2013-09-09,87.34,88.88,87.28,88.40,10298500,87.19
2013-09-03,87.70,88.30,86.80,87.25,11264900,86.05
2013-08-26,87.50,88.99,86.58,87.16,13248300,85.96
2013-08-19,87.82,87.87,86.39,87.52,12083500,86.32
2013-08-12,90.43,90.43,87.65,87.91,10793900,86.70
2013-08-05,91.42,91.97,90.43,90.72,10695200,89.47
2013-07-29,94.51,94.60,91.25,91.95,14248500,90.06
2013-07-22,94.87,95.49,93.84,94.79,8982200,92.85
2013-07-15,93.19,95.25,92.77,95.17,10810000,93.22
2013-07-08,91.96,93.81,91.90,93.40,13002300,91.48
2013-07-01,90.39,91.61,89.96,91.57,10023700,89.69
2013-06-24,88.95,90.75,88.02,90.35,16644200,88.50
2013-06-17,90.97,92.27,88.79,89.48,16693100,87.64
2013-06-10,91.93,91.94,89.59,90.58,11527100,88.72
2013-06-03,90.53,91.51,89.00,91.45,13488900,89.57
2013-05-28,92.94,93.18,90.46,90.47,13603200,88.61
2013-05-20,91.61,93.50,91.00,91.53,14464000,89.65
2013-05-13,89.80,91.88,89.43,91.76,10658100,89.88
2013-05-06,90.25,91.85,89.79,90.14,12017500,88.29
2013-04-29,88.26,90.19,87.48,90.02,12329700,87.57
2013-04-22,87.61,89.89,87.29,88.00,13395800,85.60
2013-04-15,88.29,88.67,85.02,87.45,16933900,85.07
2013-04-10,88.45,89.27,88.20,88.99,13769500,86.57
