3M Co,MMM,Inge G. Thulin,http://investing.businessweek.com/research/stocks/people/person.asp?personId=7020442&capId=289194&previousCapId=289194&previousTitle=3M%20CO,04-10-2013,03-10-2014
Abbott Laboratories,ABT,Miles D. White,http://investing.businessweek.com/research/stocks/people/person.asp?personId=247485&capId=247483&previousCapId=247483&previousTitle=ABBOTT%20LABORATORIES,04-10-2013,03-10-2014
AbbVie Inc.,ABBV,Richard A. Gonzalez,http://investing.businessweek.com/research/stocks/people/person.asp?personId=247511&capId=141885706&previousCapId=141885706&previousTitle=ABBVIE%20INC,04-10-2013,03-10-2014
Accenture plc,ACN,Pierre   Nanterme,http://investing.businessweek.com/research/stocks/people/person.asp?personId=27630476&capId=972190&previousCapId=972190&previousTitle=ACCENTURE%20PLC-CL%20A,04-10-2013,03-10-2014
ACE Limited,ACE,Evan G. Greenberg,http://investing.businessweek.com/research/stocks/people/person.asp?personId=250392&capId=203028&previousCapId=203028&previousTitle=ACE%20LTD,04-10-2013,03-10-2014
Actavis plc,ACT,Paul M. Bisaro,http://investing.businessweek.com/research/stocks/people/person.asp?personId=254297&capId=36478&previousCapId=36478&previousTitle=ACTAVIS%20PLC,04-10-2013,03-10-2014
Adobe Systems Inc,ADBE,Shantanu   Narayen,http://investing.businessweek.com/research/stocks/people/person.asp?personId=629290&capId=24321&previousCapId=24321&previousTitle=ADOBE%20SYSTEMS%20INC,04-10-2013,03-10-2014
AES Corp,AES,Andres Ricardo Gluski Weilert,http://investing.businessweek.com/research/stocks/people/person.asp?personId=8598472&capId=35312&previousCapId=35312&previousTitle=AES%20CORP,04-10-2013,03-10-2014
Aetna Inc,AET,Mark T. Bertolini,http://investing.businessweek.com/research/stocks/people/person.asp?personId=4491880&capId=655542&previousCapId=655542&previousTitle=AETNA%20INC,04-10-2013,03-10-2014
AFLAC Inc,AFL,Daniel P. Amos,http://investing.businessweek.com/research/stocks/people/person.asp?personId=250182&capId=250178&previousCapId=250178&previousTitle=AFLAC%20INC,04-10-2013,03-10-2014
Agilent Technologies Inc,A,William P. Sullivan,http://investing.businessweek.com/research/stocks/people/person.asp?personId=238895&capId=154924&previousCapId=154924&previousTitle=AGILENT%20TECHNOLOGIES%20INC,04-10-2013,03-10-2014
AGL Resources,GAS,John W. Somerhalder II,http://investing.businessweek.com/research/stocks/people/person.asp?personId=316789&capId=252517&previousCapId=252517&previousTitle=AGL%20RESOURCES%20INC,04-10-2013,03-10-2014
Air Products & Chemicals Inc,APD,John E. McGlade,http://investing.businessweek.com/research/stocks/people/person.asp?personId=7222414&capId=248356&previousCapId=248356&previousTitle=AIR%20PRODUCTS%20%26%20CHEMICALS%20INC,04-10-2013,03-10-2014
Airgas Inc,ARG,Michael L. Molinini,http://investing.businessweek.com/research/stocks/people/person.asp?personId=168998&capId=24504&previousCapId=24504&previousTitle=AIRGAS%20INC,04-10-2013,03-10-2014
Akamai Technologies Inc,AKAM,F. Thomson Leighton,http://investing.businessweek.com/research/stocks/people/person.asp?personId=238009&capId=24522&previousCapId=24522&previousTitle=AKAMAI%20TECHNOLOGIES%20INC,04-10-2013,03-10-2014
Alcoa Inc,AA,"Klaus   Kleinfeld Ph.D., rer. pol., Dipl.-Kfm.",http://investing.businessweek.com/research/stocks/people/person.asp?personId=5504710&capId=249603&previousCapId=249603&previousTitle=ALCOA%20INC,04-10-2013,03-10-2014
Alexion Pharmaceuticals Inc,ALXN,Leonard   Bell M.D.,http://investing.businessweek.com/research/stocks/people/person.asp?personId=347988&capId=347983&previousCapId=347983&previousTitle=ALEXION%20PHARMACEUTICALS%20INC,04-10-2013,03-10-2014
